,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,459800000.0,342700000.0,374200000.0,400300000.0
Capital Surplus,8450300000.0,8450300000.0,8450300000.0,8450300000.0
Total Liab,54978600000.0,55890500000.0,55210200000.0,54870100000.0
Total Stockholder Equity,126991300000.0,115437700000.0,105319000000.0,93558500000.0
Minority Interest,32400000.0,31600000.0,30300000.0,28800000.0
Other Current Liab,21085200000.0,20110700000.0,16136600000.0,23137600000.0
Total Assets,182002300000.0,171359800000.0,160559500000.0,148457400000.0
Common Stock,1877900000.0,1877900000.0,1877900000.0,1877900000.0
Other Current Assets,4184600000.0,6042500000.0,8275200000.0,9089300000.0
Retained Earnings,116628200000.0,105101200000.0,94988800000.0,83228300000.0
Other Liab,6096200000.0,8908200000.0,8148600000.0,6943500000.0
Good Will,101900000.0,155700000.0,155700000.0,155700000.0
Treasury Stock,34900000.0,8300000.0,2000000.0,2000000.0
Other Assets,23795200000.0,20125700000.0,17812000000.0,15465900000.0
Cash,58493600000.0,44925300000.0,29332100000.0,25596600000.0
Total Current Liabilities,48042600000.0,46982300000.0,47061600000.0,47926600000.0
Other Stockholder Equity,34900000.0,8300000.0,2000000.0,2000000.0
Property Plant Equipment,71863800000.0,74225600000.0,74329600000.0,74937100000.0
Total Current Assets,84486300000.0,75345700000.0,66844400000.0,56549200000.0
Long Term Investments,1295300000.0,1164400000.0,1043600000.0,949200000.0
Net Tangible Assets,126429600000.0,114939300000.0,104789100000.0,93002500000.0
Short Term Investments,1700000.0,2800000.0,4500000.0,3400000.0
Net Receivables,12241100000.0,12532600000.0,12188700000.0,7587900000.0
Inventory,9012700000.0,11419300000.0,16793900000.0,14047800000.0
Accounts Payable,14222300000.0,14749800000.0,19262600000.0,18137400000.0
