,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,13854100000.0,13643200000.0,5596700000.0,6587000000.0
Minority Interest,17514400000.0,12633700000.0,3877700000.0,7778600000.0
Net Income,9226400000.0,11381700000.0,7171400000.0,7572500000.0
Selling General Administrative,67842600000.0,64579200000.0,50884500000.0,38913800000.0
Gross Profit,92893100000.0,87422300000.0,70572500000.0,59255800000.0
Ebit,19818800000.0,18518900000.0,15907100000.0,13836800000.0
Operating Income,19818800000.0,18518900000.0,15907100000.0,13836800000.0
Other Operating Expenses,-139700000.0,-396400000.0,-116800000.0,-134000000.0
Interest Expense,-11836700000.0,-13541100000.0,-14257300000.0,-10199500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3396500000.0,3243300000.0,1445400000.0,1121100000.0
Total Revenue,395371300000.0,434025600000.0,403786600000.0,359239200000.0
Total Operating Expenses,375552500000.0,415506700000.0,387879500000.0,345402400000.0
Cost Of Revenue,302478200000.0,346603300000.0,333214100000.0,299983400000.0
Total Other Income Expense Net,-5964700000.0,-4875700000.0,-10310400000.0,-7249800000.0
Discontinued Operations,,,907800000.0,476100000.0
Net Income From Continuing Ops,10457600000.0,10399900000.0,4151300000.0,5465900000.0
Net Income Applicable To Common Shares,9226400000.0,11381700000.0,7171400000.0,7572500000.0
