,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2215000000.0,6570000000.0,3735000000.0,1714620000.0
Minority Interest,1999000000.0,1307000000.0,1355000000.0,1324370000.0
Net Income,1504000000.0,4549000000.0,2360000000.0,1174180000.0
Selling General Administrative,2635000000.0,3348000000.0,5476000000.0,5063860000.0
Gross Profit,31396000000.0,37672000000.0,32577000000.0,27160770000.0
Ebit,5672000000.0,9713000000.0,6742000000.0,4421970000.0
Operating Income,5672000000.0,9713000000.0,6742000000.0,4421970000.0
Other Operating Expenses,17358000000.0,18414000000.0,16404000000.0,13973750000.0
Interest Expense,-4058000000.0,-4633000000.0,-2837000000.0,-2592070000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,847000000.0,2252000000.0,1734000000.0,1119050000.0
Total Revenue,105600000000.0,112468000000.0,96175000000.0,82434680000.0
Total Operating Expenses,99928000000.0,102755000000.0,89433000000.0,78012710000.0
Cost Of Revenue,74204000000.0,74796000000.0,63598000000.0,55273910000.0
Total Other Income Expense Net,-3457000000.0,-3143000000.0,-3007000000.0,-2707350000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1368000000.0,4318000000.0,2001000000.0,595570000.0
Net Income Applicable To Common Shares,1504000000.0,4549000000.0,2360000000.0,1174180000.0
