,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,25546000000.0,23420200000.0,22714500000.0,11491700000.0
Capital Surplus,4178900000.0,4178900000.0,4176400000.0,4175700000.0
Total Liab,119250000000.0,121029300000.0,125619900000.0,94188000000.0
Total Stockholder Equity,219298700000.0,168246700000.0,138907800000.0,116804200000.0
Minority Interest,-8800000.0,1400000.0,15900000.0,18200000.0
Deferred Long Term Liab,1361000000.0,78200000.0,37600000.0,19000000.0
Other Current Liab,13161000000.0,11749000000.0,7949900000.0,16255400000.0
Total Assets,338539900000.0,289277400000.0,264543600000.0,211010400000.0
Common Stock,585900000.0,585900000.0,585900000.0,585900000.0
Other Current Assets,11500100000.0,10548100000.0,7944500000.0,7472000000.0
Retained Earnings,209499200000.0,158555600000.0,132293100000.0,110249200000.0
Other Liab,8252600000.0,4538800000.0,3614700000.0,3017100000.0
Good Will,4289000000.0,9159400000.0,8325100000.0,8165500000.0
Treasury Stock,5034700000.0,4926300000.0,1852400000.0,1793400000.0
Other Assets,13002600000.0,5859800000.0,6223200000.0,5095500000.0
Cash,53734700000.0,27637100000.0,18837000000.0,12140000000.0
Total Current Liabilities,106651500000.0,113846400000.0,120205700000.0,86658900000.0
Deferred Long Term Asset Charges,4526800000.0,1632000000.0,1832900000.0,1588000000.0
Other Stockholder Equity,5034700000.0,4926300000.0,1852400000.0,1793400000.0
Property Plant Equipment,93155100000.0,81166100000.0,70355900000.0,61361000000.0
Total Current Assets,198235100000.0,164125100000.0,153323000000.0,121781600000.0
Long Term Investments,4312100000.0,5546800000.0,3601900000.0,3115100000.0
Net Tangible Assets,189463700000.0,135667100000.0,107868200000.0,97147000000.0
Short Term Investments,2579800000.0,759100000.0,711100000.0,463500000.0
Net Receivables,40154600000.0,48181900000.0,53374200000.0,43121800000.0
Long Term Debt,1684000000.0,,1310700000.0,4242400000.0
Inventory,90265700000.0,76998700000.0,72456000000.0,58584100000.0
Accounts Payable,27946800000.0,25760600000.0,25521800000.0,23729000000.0
Short Long Term Debt,,1396700000.0,2136000000.0,2873900000.0
