,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,73435900000.0,37430400000.0,30913500000.0,32411800000.0
Minority Interest,-8800000.0,1400000.0,15900000.0,18200000.0
Net Income,53348400000.0,28451400000.0,23647300000.0,24231700000.0
Selling General Administrative,36575600000.0,33332900000.0,27389100000.0,22413800000.0
Gross Profit,145848500000.0,130699300000.0,105958500000.0,95349800000.0
Ebit,44535700000.0,39400900000.0,33118300000.0,32622800000.0
Operating Income,44535700000.0,39400900000.0,33118300000.0,32622800000.0
Other Operating Expenses,54183300000.0,48298400000.0,38771600000.0,34733500000.0
Interest Expense,-595700000.0,-2870000000.0,-2507200000.0,-630400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,20097700000.0,8993500000.0,7268500000.0,8182700000.0
Total Revenue,247746200000.0,230985100000.0,195635500000.0,164630300000.0
Total Operating Expenses,203210500000.0,191584200000.0,162517200000.0,132007500000.0
Cost Of Revenue,101897700000.0,100285800000.0,89677000000.0,69280500000.0
Total Other Income Expense Net,28900200000.0,-1970500000.0,-2204800000.0,-211000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,53338200000.0,28436900000.0,23645000000.0,24229100000.0
Net Income Applicable To Common Shares,53348300000.0,28451300000.0,23647300000.0,24231700000.0
