,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,4444200000.0,4444200000.0,4444200000.0,4444200000.0
Total Liab,13719600000.0,4742800000.0,571000000.0,687400000.0
Total Stockholder Equity,371669600000.0,277635400000.0,269523000000.0,252012300000.0
Minority Interest,69506700000.0,45360800000.0,,
Other Current Liab,320100000.0,448800000.0,303800000.0,295100000.0
Total Assets,454895900000.0,327739000000.0,270094000000.0,252699700000.0
Common Stock,1112900000.0,1112900000.0,1112900000.0,1112900000.0
Other Current Assets,241300000.0,305900000.0,209900000.0,76200000.0
Retained Earnings,269155700000.0,229054200000.0,231221000000.0,224154100000.0
Other Liab,11814000000.0,2365000000.0,86600000.0,242400000.0
Treasury Stock,96956800000.0,43024100000.0,32744900000.0,22301100000.0
Other Assets,1813000000.0,2303400000.0,5496200000.0,3801300000.0
Cash,225100000.0,954000000.0,34800000.0,751300000.0
Total Current Liabilities,543800000.0,700100000.0,484400000.0,445000000.0
Other Stockholder Equity,96956800000.0,43024100000.0,32744900000.0,22301100000.0
Property Plant Equipment,1613200000.0,1905700000.0,63000000.0,239200000.0
Total Current Assets,6172300000.0,7447500000.0,2228300000.0,38562300000.0
Long Term Investments,445297400000.0,316082400000.0,262306500000.0,210096900000.0
Net Tangible Assets,371669600000.0,277635400000.0,269523000000.0,252012300000.0
Short Term Investments,510000000.0,9500000.0,,1100000.0
Net Receivables,1296800000.0,1535300000.0,1525400000.0,2076100000.0
Inventory,36000000.0,33600000.0,,
Accounts Payable,32400000.0,49900000.0,11300000.0,4800000.0
Deferred Long Term Asset Charges,,451700000.0,1393900000.0,1884900000.0
