,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,-3507000000.0,-3458000000.0,-2699000000.0,-1747000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,10774000000.0,12149000000.0,12149000000.0,6100000000.0
Minority Interest,8807000000.0,6773000000.0,6089000000.0,4677000000.0
Net Income,7405000000.0,7482000000.0,9053000000.0,3724000000.0
Selling General Administrative,19026000000.0,16544000000.0,11653000000.0,9311000000.0
Gross Profit,44848000000.0,39835000000.0,36178000000.0,24873000000.0
Ebit,9537000000.0,10520000000.0,9459000000.0,4440000000.0
Operating Income,9537000000.0,10520000000.0,9459000000.0,4440000000.0
Other Operating Expenses,12624000000.0,10706000000.0,13287000000.0,9018000000.0
Interest Expense,-577000000.0,-649000000.0,-709000000.0,-615000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2215000000.0,3151000000.0,2123000000.0,1569000000.0
Total Revenue,71058000000.0,63005000000.0,55144000000.0,41234000000.0
Total Operating Expenses,61521000000.0,52485000000.0,45685000000.0,36794000000.0
Cost Of Revenue,26210000000.0,23170000000.0,18966000000.0,16361000000.0
Total Other Income Expense Net,1237000000.0,1629000000.0,2690000000.0,1660000000.0
Discontinued Operations,-97000000.0,-289000000.0,-289000000.0,-289000000.0
Net Income From Continuing Ops,8559000000.0,8998000000.0,10026000000.0,4531000000.0
Net Income Applicable To Common Shares,7405000000.0,7482000000.0,9053000000.0,3724000000.0
