,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,12363000000.0,13868000000.0,17688000000.0,12785000000.0
Total Liab,89551000000.0,119762000000.0,118039000000.0,91298000000.0
Total Stockholder Equity,129923000000.0,103757000000.0,103863000000.0,87445000000.0
Minority Interest,19373000000.0,13347000000.0,12929000000.0,1910000000.0
Other Current Liab,5525000000.0,3941000000.0,2813000000.0,2619000000.0
Total Assets,238847000000.0,236866000000.0,234831000000.0,180653000000.0
Common Stock,1024000000.0,1024000000.0,1024000000.0,1024000000.0
Other Current Assets,8525000000.0,6528000000.0,7491000000.0,9084000000.0
Retained Earnings,131739000000.0,104048000000.0,99891000000.0,85640000000.0
Other Liab,4692000000.0,4777000000.0,5117000000.0,4917000000.0
Good Will,53465000000.0,53915000000.0,52890000000.0,13853000000.0
Treasury Stock,-2840000000.0,-1315000000.0,2948000000.0,781000000.0
Other Assets,15660000000.0,13811000000.0,15405000000.0,13442000000.0
Cash,8883000000.0,9649000000.0,5489000000.0,13149000000.0
Total Current Liabilities,78613000000.0,82694000000.0,73425000000.0,60830000000.0
Deferred Long Term Asset Charges,10744000000.0,8529000000.0,9703000000.0,9246000000.0
Short Long Term Debt,9031000000.0,9453000000.0,7528000000.0,2941000000.0
Other Stockholder Equity,-2840000000.0,-1315000000.0,2948000000.0,781000000.0
Property Plant Equipment,63332000000.0,61937000000.0,59431000000.0,53460000000.0
Total Current Assets,87160000000.0,87154000000.0,84981000000.0,82297000000.0
Long Term Investments,6867000000.0,6181000000.0,4436000000.0,4816000000.0
Net Tangible Assets,64095000000.0,35974000000.0,33285000000.0,60807000000.0
Short Term Investments,400000000.0,2306000000.0,1004000000.0,
Net Receivables,34093000000.0,37892000000.0,41013000000.0,32889000000.0
Long Term Debt,6095000000.0,32146000000.0,39497000000.0,25551000000.0
Inventory,32362000000.0,27890000000.0,26880000000.0,23853000000.0
Accounts Payable,22059000000.0,20310000000.0,19226000000.0,18884000000.0
