,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,23322000000.0,15242000000.0,24290000000.0,23936000000.0
Minority Interest,19373000000.0,13347000000.0,12929000000.0,1910000000.0
Net Income,21336000000.0,11766000000.0,18488000000.0,17758000000.0
Selling General Administrative,33271000000.0,33066000000.0,28276000000.0,24864000000.0
Gross Profit,97460000000.0,91727000000.0,83082000000.0,76601000000.0
Ebit,26241000000.0,21016000000.0,23926000000.0,23244000000.0
Operating Income,26241000000.0,21016000000.0,23926000000.0,23244000000.0
Other Operating Expenses,30683000000.0,30666000000.0,24855000000.0,23229000000.0
Interest Expense,-1604000000.0,-3236000000.0,-1905000000.0,-1047000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1472000000.0,3198000000.0,5303000000.0,5644000000.0
Total Revenue,151022000000.0,142531000000.0,131656000000.0,119049000000.0
Total Operating Expenses,124781000000.0,121515000000.0,107730000000.0,95805000000.0
Cost Of Revenue,53562000000.0,50804000000.0,48574000000.0,42448000000.0
Total Other Income Expense Net,-2919000000.0,-5774000000.0,364000000.0,692000000.0
Discontinued Operations,,,,-188000000.0
Net Income From Continuing Ops,21850000000.0,12044000000.0,18987000000.0,18292000000.0
Net Income Applicable To Common Shares,21336000000.0,11766000000.0,18488000000.0,17758000000.0
