,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,127993000.0,127993000.0,127993000.0,127993000.0
Total Liab,17281518000.0,10098109000.0,11797298000.0,10392507000.0
Total Stockholder Equity,11658630000.0,15941589000.0,14467532000.0,15246069000.0
Other Current Liab,6856721000.0,1258508000.0,2979928000.0,2388650000.0
Total Assets,28940148000.0,26039698000.0,26264830000.0,25638576000.0
Common Stock,271986000.0,271986000.0,271986000.0,271986000.0
Other Current Assets,5981761000.0,527272000.0,439442000.0,2215545000.0
Retained Earnings,11262416000.0,15548268000.0,14029352000.0,14787021000.0
Other Liab,328450000.0,555353000.0,509142000.0,564615000.0
Treasury Stock,-3765000.0,-6658000.0,38201000.0,59069000.0
Other Assets,2932507000.0,2604260000.0,1956181000.0,1674948000.0
Cash,2965729000.0,3978168000.0,3779983000.0,3053896000.0
Total Current Liabilities,16179511000.0,8703032000.0,10511047000.0,9827892000.0
Deferred Long Term Asset Charges,47681000.0,,,
Other Stockholder Equity,-3765000.0,-6658000.0,38201000.0,59069000.0
Property Plant Equipment,12095657000.0,13128943000.0,13895547000.0,13044880000.0
Total Current Assets,13725839000.0,10120310000.0,10101586000.0,10607194000.0
Long Term Investments,186145000.0,186185000.0,311516000.0,311554000.0
Net Tangible Assets,11658630000.0,15941589000.0,14467532000.0,15246069000.0
Short Term Investments,50900000.0,,,
Net Receivables,1274217000.0,2505970000.0,3265138000.0,2945828000.0
Inventory,3358214000.0,2969218000.0,2485737000.0,2267055000.0
Accounts Payable,7604400000.0,6125134000.0,6131820000.0,6202977000.0
