,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,20560200000.0,17276400000.0,17248700000.0,16930900000.0
Minority Interest,366900000.0,364600000.0,313800000.0,265300000.0
Net Income,16933000000.0,14449600000.0,14423300000.0,13543900000.0
Selling General Administrative,18606500000.0,16453200000.0,16321800000.0,14784900000.0
Gross Profit,47184900000.0,42841200000.0,41641800000.0,38462400000.0
Ebit,17777300000.0,15804800000.0,15744600000.0,14707900000.0
Operating Income,17777300000.0,15804800000.0,15744600000.0,14707900000.0
Other Operating Expenses,8399800000.0,8378700000.0,7821500000.0,7361600000.0
Interest Expense,-240500000.0,-425200000.0,-522800000.0,-453500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3610700000.0,2797200000.0,2786200000.0,3353500000.0
Total Revenue,95466000000.0,86846400000.0,85149900000.0,77218500000.0
Total Operating Expenses,77688700000.0,71041600000.0,69405300000.0,62510600000.0
Cost Of Revenue,48281100000.0,44005200000.0,43508100000.0,38756100000.0
Total Other Income Expense Net,2782900000.0,1471500000.0,1504100000.0,2223000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,16949500000.0,14479200000.0,14462500000.0,13577400000.0
Net Income Applicable To Common Shares,16933000000.0,14449600000.0,14423300000.0,13543900000.0
