,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,14448721000.0,15429843000.0,15914252000.0,87998417000.0
Minority Interest,202835000.0,184082000.0,405848000.0,487989000.0
Net Income,10936024000.0,-5831983000.0,13191971000.0,44638639000.0
Selling General Administrative,3585041000.0,4607409000.0,4794089000.0,4653297000.0
Gross Profit,25648316000.0,27023507000.0,34149851000.0,35914508000.0
Ebit,13098684000.0,9772415000.0,19505816000.0,18467928000.0
Operating Income,13098684000.0,9772415000.0,19505816000.0,18467928000.0
Other Operating Expenses,7369761000.0,10640653000.0,7603606000.0,7457983000.0
Interest Expense,-7650772000.0,-13216319000.0,-19218591000.0,-27943755000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3622823000.0,21326743000.0,2773734000.0,43230497000.0
Total Revenue,54140610000.0,60827722000.0,83660872000.0,67067890000.0
Total Operating Expenses,41041926000.0,51055307000.0,64155056000.0,48599962000.0
Cost Of Revenue,28492294000.0,33804215000.0,49511021000.0,31153382000.0
Total Other Income Expense Net,1350037000.0,5657428000.0,-3591564000.0,69530489000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,10825898000.0,-5896900000.0,13140518000.0,44767920000.0
Net Income Applicable To Common Shares,10936024000.0,-5831983000.0,13191971000.0,44638639000.0
