,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,222200000.0,285400000.0,299700000.0,293600000.0
Capital Surplus,59945700000.0,59945700000.0,18097700000.0,18097700000.0
Total Liab,14718600000.0,9962500000.0,14177100000.0,9786600000.0
Total Stockholder Equity,121837100000.0,110797400000.0,55874500000.0,46690500000.0
Minority Interest,4000000.0,4600000.0,5600000.0,6400000.0
Other Current Liab,3286400000.0,978900000.0,1083100000.0,1066400000.0
Total Assets,136559700000.0,120764500000.0,70057200000.0,56483500000.0
Common Stock,6477700000.0,6477700000.0,6240800000.0,6240800000.0
Other Current Assets,2429000000.0,2290600000.0,1727000000.0,1324100000.0
Retained Earnings,55083400000.0,44022500000.0,30541200000.0,21255800000.0
Other Liab,540800000.0,493400000.0,651200000.0,467000000.0
Good Will,782700000.0,782700000.0,782700000.0,782700000.0
Treasury Stock,330300000.0,351500000.0,994800000.0,1096200000.0
Other Assets,5410200000.0,3648800000.0,1640300000.0,1454400000.0
Cash,1915000000.0,1058700000.0,1249800000.0,674500000.0
Total Current Liabilities,11057700000.0,7258000000.0,12269200000.0,6859600000.0
Deferred Long Term Asset Charges,9200000.0,2900000.0,2200000.0,1300000.0
Other Stockholder Equity,330300000.0,351500000.0,994800000.0,1096200000.0
Property Plant Equipment,79183300000.0,61890900000.0,46508700000.0,34230800000.0
Total Current Assets,40611300000.0,23476700000.0,20825800000.0,19722000000.0
Long Term Investments,10350000000.0,30680000000.0,,
Net Tangible Assets,120832200000.0,109729300000.0,54792100000.0,45614200000.0
Short Term Investments,12561500000.0,158300000.0,1022200000.0,5531800000.0
Net Receivables,1162400000.0,431900000.0,672100000.0,506500000.0
Inventory,22482800000.0,19474000000.0,16086500000.0,11634500000.0
Accounts Payable,5781300000.0,4334500000.0,4632700000.0,3172800000.0
Short Long Term Debt,,340000000.0,2703300000.0,1860000000.0
Long Term Debt,,,1256700000.0,2460000000.0
