,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,23006800000.0,18803600000.0,14125100000.0,10634500000.0
Total Liab,281051300000.0,255588900000.0,223573500000.0,196166500000.0
Total Stockholder Equity,531823400000.0,492682500000.0,460041000000.0,416785700000.0
Minority Interest,974900000.0,870400000.0,459500000.0,389200000.0
Other Current Liab,49747500000.0,45996500000.0,46094300000.0,40198400000.0
Total Assets,813849600000.0,749141800000.0,684074000000.0,613341400000.0
Common Stock,44403900000.0,45101400000.0,22550700000.0,22550700000.0
Other Current Assets,12655700000.0,20466500000.0,29135600000.0,16289900000.0
Retained Earnings,443468000000.0,418360300000.0,387956400000.0,343223000000.0
Other Liab,98620600000.0,92168500000.0,106695000000.0,73117100000.0
Treasury Stock,43951500000.0,29218100000.0,49531200000.0,51009300000.0
Other Assets,33474400000.0,34316400000.0,41842500000.0,38482100000.0
Cash,15065900000.0,6241300000.0,2966300000.0,13772400000.0
Total Current Liabilities,125523300000.0,124761500000.0,106600200000.0,111863000000.0
Short Long Term Debt,4450800000.0,3153200000.0,1529300000.0,11234400000.0
Other Stockholder Equity,43951500000.0,29218100000.0,49531200000.0,51009300000.0
Property Plant Equipment,522593200000.0,480155700000.0,410252700000.0,353552300000.0
Total Current Assets,108672300000.0,116568900000.0,110486300000.0,108884200000.0
Long Term Investments,126102900000.0,99297200000.0,107367400000.0,101788300000.0
Net Tangible Assets,508816600000.0,473878900000.0,445915900000.0,406151200000.0
Short Term Investments,3215700000.0,3377400000.0,3327700000.0,7697300000.0
Net Receivables,41283100000.0,52920600000.0,49228800000.0,47291200000.0
Long Term Debt,52374000000.0,37734000000.0,10269600000.0,11177900000.0
Inventory,29897300000.0,31830100000.0,25026400000.0,19325100000.0
Accounts Payable,44531800000.0,39221800000.0,38760700000.0,39038900000.0
Capital Surplus,,2700000.0,2700000.0,2700000.0
