,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,13348100000.0,9928660000.0,6862780000.0,5014650000.0
Minority Interest,,,,
Net Income,9969630000.0,7728580000.0,4518560000.0,3210510000.0
Selling General Administrative,3121840000.0,2784220000.0,2237560000.0,1813830000.0
Gross Profit,18532100000.0,14177620000.0,10801760000.0,8736920000.0
Ebit,12034450000.0,8608800000.0,6243830000.0,4569180000.0
Operating Income,12034450000.0,8608800000.0,6243830000.0,4569180000.0
Other Operating Expenses,2385250000.0,1822570000.0,1404450000.0,1557410000.0
Interest Expense,-29110000.0,-62510000.0,-26170000.0,-32480000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3378470000.0,2200080000.0,2344220000.0,1804140000.0
Total Revenue,34628760000.0,26332400000.0,20442030000.0,16199410000.0
Total Operating Expenses,22594310000.0,17723600000.0,14198200000.0,11630230000.0
Cost Of Revenue,16096660000.0,12154780000.0,9640270000.0,7462490000.0
Total Other Income Expense Net,1313650000.0,1319860000.0,618950000.0,445470000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9969630000.0,7728580000.0,4518560000.0,3210510000.0
Net Income Applicable To Common Shares,9969630000.0,7728580000.0,4518560000.0,3210510000.0
