,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,24780300000.0,26365300000.0,25611000000.0,25315700000.0
Capital Surplus,14186100000.0,14073600000.0,13980400000.0,14245200000.0
Total Liab,48439200000.0,70586500000.0,69031600000.0,77055000000.0
Total Stockholder Equity,94389000000.0,78983600000.0,72669200000.0,62583100000.0
Other Current Liab,3772800000.0,4501400000.0,4016400000.0,6231100000.0
Total Assets,142828200000.0,149570100000.0,141700800000.0,139638100000.0
Common Stock,1022500000.0,1022300000.0,1022200000.0,681300000.0
Other Current Assets,3538300000.0,3891900000.0,3101900000.0,3410600000.0
Retained Earnings,78459800000.0,61435800000.0,57231800000.0,48561300000.0
Other Liab,1606300000.0,3328600000.0,4066000000.0,11492100000.0
Good Will,51298500000.0,53393200000.0,49180300000.0,47188700000.0
Treasury Stock,720600000.0,2451900000.0,434800000.0,-904700000.0
Other Assets,8229200000.0,7888000000.0,7189100000.0,2546300000.0
Cash,5241300000.0,6028700000.0,8622100000.0,8980200000.0
Total Current Liabilities,41356900000.0,45465600000.0,38917800000.0,41759700000.0
Deferred Long Term Asset Charges,6767900000.0,6467900000.0,5493200000.0,1000400000.0
Short Long Term Debt,10399100000.0,9464800000.0,5289500000.0,9903300000.0
Other Stockholder Equity,720600000.0,2451900000.0,434800000.0,-904700000.0
Property Plant Equipment,13543200000.0,13125900000.0,12431900000.0,11484400000.0
Total Current Assets,44724100000.0,48083400000.0,46884100000.0,51687800000.0
Long Term Investments,252900000.0,714300000.0,404400000.0,1415200000.0
Net Tangible Assets,18310200000.0,-774900000.0,-2122100000.0,-9921300000.0
Short Term Investments,6057600000.0,8076700000.0,5174200000.0,8078400000.0
Net Receivables,10746000000.0,13022100000.0,14205900000.0,14284000000.0
Long Term Debt,4801100000.0,21450400000.0,26047800000.0,23803200000.0
Inventory,17162500000.0,17031200000.0,15585900000.0,15777200000.0
Accounts Payable,21596400000.0,24804900000.0,25398800000.0,23531000000.0
