,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,115000000.0,138800000.0,112000000.0,89700000.0
Capital Surplus,5671600000.0,5550400000.0,5373000000.0,3439400000.0
Total Liab,3185200000.0,2793400000.0,1530300000.0,2182300000.0
Total Stockholder Equity,47761800000.0,40292600000.0,30707200000.0,22539100000.0
Other Current Liab,116700000.0,122000000.0,63200000.0,137000000.0
Total Assets,50947000000.0,43086000000.0,32237500000.0,24721400000.0
Common Stock,1064800000.0,1064000000.0,1062900000.0,1052800000.0
Other Current Assets,141400000.0,144900000.0,544200000.0,251900000.0
Retained Earnings,40376000000.0,33084900000.0,23653400000.0,17426400000.0
Other Liab,391400000.0,64700000.0,37300000.0,42200000.0
Good Will,60400000.0,60400000.0,60400000.0,60400000.0
Treasury Stock,649400000.0,593300000.0,617900000.0,620500000.0
Other Assets,4700000.0,222500000.0,400000.0,15700000.0
Cash,16800000.0,266400000.0,9000000.0,19500000.0
Total Current Liabilities,1918500000.0,1857400000.0,1493000000.0,2140100000.0
Other Stockholder Equity,649400000.0,593300000.0,617900000.0,620500000.0
Property Plant Equipment,1368600000.0,1413900000.0,256300000.0,218800000.0
Total Current Assets,44497000000.0,36004900000.0,26520900000.0,18610100000.0
Long Term Investments,4901300000.0,5245500000.0,5287500000.0,5726700000.0
Net Tangible Assets,47586400000.0,40093400000.0,30534800000.0,22389000000.0
Net Receivables,1434100000.0,1213600000.0,1509500000.0,1490000000.0
Accounts Payable,421100000.0,467300000.0,473600000.0,1115800000.0
Deferred Long Term Asset Charges,,216700000.0,,
