,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,8471100000.0,6659400000.0,4790000000.0,4742800000.0
Total Liab,960788500000.0,859292700000.0,769458200000.0,641393100000.0
Total Stockholder Equity,380808600000.0,309806200000.0,304006600000.0,255324400000.0
Other Current Liab,220301100000.0,208089200000.0,200874500000.0,150388600000.0
Total Assets,1341597100000.0,1169098900000.0,1073464800000.0,896717500000.0
Common Stock,14520200000.0,15238200000.0,15238200000.0,15238200000.0
Other Current Assets,2626000000.0,1284800000.0,4898200000.0,14680600000.0
Retained Earnings,361189300000.0,293129800000.0,287511400000.0,238007600000.0
Other Liab,59341000000.0,57715900000.0,76081200000.0,69204100000.0
Good Will,3216200000.0,166900000.0,166900000.0,166900000.0
Treasury Stock,5099100000.0,1438200000.0,1257000000.0,2078600000.0
Other Assets,40688500000.0,41178400000.0,34825600000.0,25477100000.0
Cash,4803800000.0,2047600000.0,1987400000.0,1215200000.0
Total Current Liabilities,623803300000.0,570480500000.0,572099000000.0,475629600000.0
Short Long Term Debt,7250000000.0,43590200000.0,21550600000.0,14166600000.0
Other Stockholder Equity,5099100000.0,1438200000.0,1257000000.0,2078600000.0
Property Plant Equipment,750792100000.0,654389100000.0,506645400000.0,422147000000.0
Total Current Assets,441670800000.0,376197600000.0,434900000000.0,365330800000.0
Long Term Investments,96758400000.0,90507500000.0,92136900000.0,78852900000.0
Net Tangible Assets,369121300000.0,302979900000.0,299049700000.0,250414700000.0
Net Receivables,89668900000.0,122984400000.0,169511500000.0,112089300000.0
Long Term Debt,250491900000.0,208729000000.0,121278000000.0,96559400000.0
Inventory,287639000000.0,193259900000.0,204436200000.0,186122300000.0
Accounts Payable,177986500000.0,114725500000.0,171333700000.0,157799600000.0
Short Term Investments,,58100000.0,,10500000.0
