,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-58180700000.0,-2556690000.0,-1473780000.0,31266270000.0
Minority Interest,,,,
Net Income,-58064270000.0,-2336780000.0,1572470000.0,22423240000.0
Selling General Administrative,1328590000.0,1898630000.0,1752060000.0,2039690000.0
Gross Profit,12931770000.0,90258110000.0,31298090000.0,90703890000.0
Ebit,-51820050000.0,16462120000.0,-4884240000.0,25765890000.0
Operating Income,-51820050000.0,16462120000.0,-4884240000.0,25765890000.0
Other Operating Expenses,16234960000.0,32144620000.0,26825820000.0,58529540000.0
Interest Expense,-21419140000.0,-18545550000.0,-4933180000.0,-3371740000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-116430000.0,-219910000.0,-3046250000.0,8843030000.0
Total Revenue,146406310000.0,357560010000.0,284967720000.0,230208870000.0
Total Operating Expenses,198226360000.0,341097890000.0,289851960000.0,204442980000.0
Cost Of Revenue,133474540000.0,267301900000.0,253669630000.0,139504980000.0
Total Other Income Expense Net,-6360650000.0,-19018810000.0,3410460000.0,5500380000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-58064270000.0,-2336780000.0,1572470000.0,22423240000.0
Net Income Applicable To Common Shares,-58064270000.0,-2336780000.0,1572470000.0,22423240000.0
