,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,27956900000.0,27037500000.0,25477700000.0,43328700000.0
Capital Surplus,19584800000.0,19584800000.0,13842100000.0,13842100000.0
Total Liab,469034500000.0,583812500000.0,574423000000.0,584054700000.0
Total Stockholder Equity,318146700000.0,321371400000.0,320846900000.0,303846100000.0
Minority Interest,-8777000000.0,-7764400000.0,-5261000000.0,4403400000.0
Other Current Liab,44952400000.0,65121100000.0,46716900000.0,37570600000.0
Total Assets,778404200000.0,897419500000.0,890008900000.0,892304200000.0
Common Stock,1020000000.0,1020000000.0,967900000.0,967900000.0
Other Current Assets,35514600000.0,44681700000.0,36005200000.0,45486300000.0
Retained Earnings,301208400000.0,248641400000.0,237007200000.0,259230200000.0
Other Liab,66920600000.0,61561100000.0,58309400000.0,59965000000.0
Good Will,5001000000.0,6098200000.0,6163700000.0,5921800000.0
Treasury Stock,-3666500000.0,52125200000.0,69029700000.0,29805900000.0
Other Assets,13164600000.0,11014600000.0,14850300000.0,13503800000.0
Cash,59651800000.0,5615500000.0,1969600000.0,2635300000.0
Total Current Liabilities,192794600000.0,232431400000.0,216711400000.0,194530600000.0
Short Long Term Debt,77584000000.0,61489700000.0,47929100000.0,37632000000.0
Other Stockholder Equity,-3666500000.0,52125200000.0,69029700000.0,29805900000.0
Property Plant Equipment,527649700000.0,691931200000.0,698965400000.0,684962200000.0
Total Current Assets,203190600000.0,159908800000.0,143100800000.0,143130000000.0
Long Term Investments,1441400000.0,1429200000.0,1451000000.0,1457700000.0
Net Tangible Assets,285188800000.0,288235700000.0,289205500000.0,254595600000.0
Short Term Investments,168700000.0,2437400000.0,1904200000.0,1794200000.0
Net Receivables,37523100000.0,42234900000.0,36914600000.0,40663100000.0
Long Term Debt,203401300000.0,278965300000.0,299402200000.0,329559100000.0
Inventory,59425700000.0,63687100000.0,65095300000.0,49595600000.0
Accounts Payable,40382900000.0,55671300000.0,52043100000.0,41899100000.0
