,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,387979000.0,385758000.0,387836000.0,383043000.0
Capital Surplus,477270000.0,477276000.0,477276000.0,1137121000.0
Total Liab,23305624000.0,22380085000.0,5935254000.0,5290088000.0
Total Stockholder Equity,14268268000.0,11220257000.0,12596377000.0,9677329000.0
Minority Interest,93909000.0,106922000.0,25779000.0,
Other Current Liab,797662000.0,479477000.0,585155000.0,369334000.0
Total Assets,37667801000.0,33707264000.0,18557410000.0,14967417000.0
Common Stock,1319690000.0,1319690000.0,1319690000.0,659845000.0
Other Current Assets,280254000.0,280585000.0,217815000.0,208010000.0
Retained Earnings,11908087000.0,9580700000.0,10957019000.0,8056508000.0
Other Liab,5000000.0,13416000.0,504775000.0,554839000.0
Treasury Stock,563221000.0,-157409000.0,-157608000.0,-176145000.0
Other Assets,3192574000.0,2817656000.0,2189215000.0,1880532000.0
Cash,557598000.0,1960001000.0,283467000.0,790252000.0
Total Current Liabilities,8612638000.0,7119490000.0,5430479000.0,4735249000.0
Deferred Long Term Asset Charges,830736000.0,759826000.0,,
Other Stockholder Equity,722114000.0,-36682000.0,-26039000.0,44289000.0
Property Plant Equipment,21352236000.0,21912750000.0,7863648000.0,7651065000.0
Total Current Assets,8382169000.0,8591100000.0,8116711000.0,5052777000.0
Long Term Investments,4352843000.0,,,
Net Tangible Assets,13880289000.0,10834499000.0,12208541000.0,9294286000.0
Short Term Investments,4834239000.0,4598828000.0,4659063000.0,500000000.0
Net Receivables,564231000.0,292717000.0,313023000.0,210126000.0
Inventory,1331306000.0,947203000.0,770778000.0,642109000.0
Accounts Payable,5330238000.0,4470239000.0,4208836000.0,3889786000.0
