,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,17501600000.0,19025400000.0,44159800000.0,46479700000.0
Capital Surplus,9887100000.0,9175400000.0,8644200000.0,8129400000.0
Total Liab,97523300000.0,124026900000.0,141602800000.0,126882400000.0
Total Stockholder Equity,138031400000.0,125367000000.0,137422300000.0,135770600000.0
Minority Interest,549700000.0,444600000.0,468600000.0,400800000.0
Other Current Liab,10893400000.0,16757100000.0,12894100000.0,12386300000.0
Total Assets,236104400000.0,249838500000.0,279493700000.0,263053800000.0
Common Stock,907400000.0,906000000.0,905000000.0,904200000.0
Other Current Assets,9410000000.0,13376800000.0,10824100000.0,12555300000.0
Retained Earnings,128659800000.0,119063600000.0,125511100000.0,122102900000.0
Other Liab,10414300000.0,11616200000.0,13886900000.0,11681900000.0
Good Will,19624200000.0,18514800000.0,23803200000.0,24484900000.0
Treasury Stock,-1422900000.0,-3778000000.0,2362000000.0,4634100000.0
Other Assets,5989800000.0,6568400000.0,11837400000.0,11089400000.0
Cash,9206300000.0,22148500000.0,5722100000.0,13941100000.0
Total Current Liabilities,84360900000.0,92252000000.0,61298700000.0,50955500000.0
Deferred Long Term Asset Charges,1802100000.0,1743100000.0,7340000000.0,7165600000.0
Short Long Term Debt,17174200000.0,20192900000.0,2741400000.0,2664500000.0
Other Stockholder Equity,-1422900000.0,-3778000000.0,2362000000.0,4634100000.0
Property Plant Equipment,52344400000.0,51237100000.0,59301200000.0,58637300000.0
Total Current Assets,139863700000.0,154132100000.0,138535800000.0,122095400000.0
Long Term Investments,780700000.0,360700000.0,1856300000.0,267100000.0
Net Tangible Assets,100905600000.0,87826800000.0,69459300000.0,64806000000.0
Short Term Investments,10120100000.0,12607200000.0,8410200000.0,66200000.0
Net Receivables,48419400000.0,58340800000.0,58445000000.0,56559300000.0
Long Term Debt,161200000.0,17932800000.0,66416700000.0,64243500000.0
Inventory,40920100000.0,34568700000.0,38367700000.0,36624900000.0
Accounts Payable,20144400000.0,24123000000.0,24981800000.0,25754000000.0
