,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,203250000.0,258150000.0,68950000.0,23700000.0
Capital Surplus,26457300000.0,8227660000.0,8227660000.0,8227660000.0
Total Liab,8692060000.0,7033360000.0,6598770000.0,5664980000.0
Total Stockholder Equity,54595550000.0,21955560000.0,25425900000.0,20450310000.0
Minority Interest,787270000.0,,-134710000.0,-152470000.0
Other Current Liab,5445680000.0,4851090000.0,5033200000.0,4245160000.0
Total Assets,64074880000.0,28988920000.0,31889960000.0,25962820000.0
Common Stock,1285230000.0,1222660000.0,1220080000.0,1215890000.0
Other Current Assets,9980000.0,17510000.0,23250000.0,3298380000.0
Retained Earnings,26186110000.0,11979610000.0,15649710000.0,10107040000.0
Other Liab,1123900000.0,70930000.0,144150000.0,107950000.0
Good Will,597060000.0,597060000.0,36950000.0,36950000.0
Treasury Stock,666910000.0,525630000.0,328450000.0,899720000.0
Other Assets,7557760000.0,2827680000.0,2305180000.0,1856330000.0
Cash,6402520000.0,5271080000.0,2233180000.0,848610000.0
Total Current Liabilities,7127970000.0,6393810000.0,6450880000.0,5554120000.0
Deferred Long Term Asset Charges,363470000.0,335920000.0,437770000.0,477910000.0
Short Long Term Debt,3330000.0,3810000.0,4570000.0,4790000.0
Other Stockholder Equity,666910000.0,525630000.0,328450000.0,899720000.0
Property Plant Equipment,1045770000.0,1304740000.0,515730000.0,531810000.0
Total Current Assets,31426670000.0,15225420000.0,19331340000.0,17887230000.0
Long Term Investments,23244370000.0,8775870000.0,9631810000.0,5626800000.0
Net Tangible Assets,53795240000.0,21100350000.0,25320000000.0,20389660000.0
Short Term Investments,24141750000.0,6862160000.0,13004340000.0,2034140000.0
Net Receivables,871970000.0,520640000.0,670270000.0,242150000.0
Long Term Debt,720000.0,2420000.0,3740000.0,2810000.0
Accounts Payable,643370000.0,634150000.0,670420000.0,615810000.0
Inventory,,,380000.0,7470000.0
