,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,15893100000.0,-1257620000.0,7164820000.0,5854480000.0
Minority Interest,787270000.0,787270000.0,-134710000.0,-152470000.0
Net Income,14070810000.0,-2376230000.0,6036530000.0,5119830000.0
Selling General Administrative,2429820000.0,3121000000.0,2957670000.0,2336370000.0
Gross Profit,5163900000.0,6878890000.0,6086030000.0,4918320000.0
Ebit,2234940000.0,3280480000.0,2906950000.0,2285620000.0
Operating Income,2234940000.0,3280480000.0,2906950000.0,2285620000.0
Other Operating Expenses,,,,
Interest Expense,-57870000.0,-71240000.0,-810000.0,-1230000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1805060000.0,1199860000.0,1242800000.0,844990000.0
Total Revenue,11201220000.0,13119390000.0,11510090000.0,9882360000.0
Total Operating Expenses,8966280000.0,9838910000.0,8603140000.0,7596740000.0
Cost Of Revenue,6037320000.0,6240500000.0,5424060000.0,4964040000.0
Total Other Income Expense Net,13658160000.0,-4538100000.0,4257870000.0,3568860000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,14088040000.0,-2457480000.0,5922020000.0,5009490000.0
Net Income Applicable To Common Shares,14070810000.0,-2376230000.0,6036530000.0,5119830000.0
