,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,5699900000.0,4843000000.0,2200100000.0,2137100000.0
Total Liab,70322000000.0,36133100000.0,38333400000.0,42590200000.0
Total Stockholder Equity,298840500000.0,276730700000.0,260440000000.0,244174100000.0
Minority Interest,135400000.0,80500000.0,138900000.0,148900000.0
Other Current Liab,25399800000.0,15468100000.0,23050400000.0,24241000000.0
Total Assets,369297900000.0,312944300000.0,298912300000.0,286913200000.0
Common Stock,2930700000.0,3061900000.0,3061900000.0,3163900000.0
Other Current Assets,14161100000.0,11559700000.0,15325500000.0,15542400000.0
Retained Earnings,292903200000.0,269857400000.0,253643800000.0,237898200000.0
Other Liab,9454100000.0,8279600000.0,7685200000.0,7141200000.0
Good Will,938900000.0,938900000.0,938900000.0,938900000.0
Treasury Stock,3006600000.0,3811400000.0,3734300000.0,3112000000.0
Other Assets,43633600000.0,41243500000.0,37237600000.0,31520100000.0
Cash,4641000000.0,1055700000.0,456700000.0,343900000.0
Total Current Liabilities,55356600000.0,27795200000.0,30648200000.0,35449000000.0
Deferred Long Term Asset Charges,4082800000.0,3970700000.0,5827300000.0,3857100000.0
Other Stockholder Equity,3006600000.0,3811400000.0,3734300000.0,3112000000.0
Property Plant Equipment,204274500000.0,187611700000.0,170174100000.0,156946700000.0
Total Current Assets,106002000000.0,69206200000.0,79772900000.0,88643100000.0
Long Term Investments,8749000000.0,9101000000.0,8588700000.0,6727300000.0
Net Tangible Assets,292201700000.0,270948800000.0,257301000000.0,241098100000.0
Short Term Investments,53620900000.0,23289300000.0,40924100000.0,50212900000.0
Net Receivables,24361800000.0,26066400000.0,16404900000.0,16827000000.0
Long Term Debt,5464300000.0,,,
Inventory,9217200000.0,7235100000.0,6661700000.0,5716900000.0
Accounts Payable,3607800000.0,2259000000.0,2027900000.0,1596400000.0
