,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,89246900000.0,60864700000.0,71749000000.0,61813000000.0
Minority Interest,135400000.0,80500000.0,138900000.0,148900000.0
Net Income,62770100000.0,35732900000.0,46188400000.0,38084600000.0
Selling General Administrative,17960000000.0,17756000000.0,13429700000.0,15640100000.0
Gross Profit,120162300000.0,91054500000.0,96425100000.0,90019500000.0
Ebit,85617900000.0,57078000000.0,66471000000.0,55466200000.0
Operating Income,85617900000.0,57078000000.0,66471000000.0,55466200000.0
Other Operating Expenses,14302400000.0,13271200000.0,13734000000.0,16346900000.0
Interest Expense,-168100000.0,-98800000.0,-403200000.0,-371000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,26484500000.0,25127200000.0,25565300000.0,23733400000.0
Total Revenue,153700600000.0,116992200000.0,121526700000.0,116149000000.0
Total Operating Expenses,68082700000.0,59914200000.0,55055700000.0,60682800000.0
Cost Of Revenue,33538300000.0,25937700000.0,25101600000.0,26129500000.0
Total Other Income Expense Net,3629000000.0,3786700000.0,5278000000.0,6346800000.0
Discontinued Operations,4000000.0,-7900000.0,-4200000.0,-4400000.0
Net Income From Continuing Ops,62762400000.0,35737500000.0,46183700000.0,38079600000.0
Net Income Applicable To Common Shares,62770100000.0,35732900000.0,46188400000.0,38084600000.0
