,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,34557700000.0,14071200000.0,25418400000.0,22438600000.0
Minority Interest,11210000000.0,11210000000.0,90300000.0,120000000.0
Net Income,13323400000.0,240300000.0,14670600000.0,51214900000.0
Selling General Administrative,18003700000.0,17729300000.0,17074500000.0,23546700000.0
Gross Profit,108573900000.0,115474500000.0,105285200000.0,92130500000.0
Ebit,70993600000.0,80799300000.0,71000500000.0,49156900000.0
Operating Income,70993600000.0,80799300000.0,71000500000.0,49156900000.0
Other Operating Expenses,13967600000.0,11729700000.0,13031800000.0,14653600000.0
Interest Expense,-40885300000.0,-50625100000.0,-39940600000.0,-29229600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,20429100000.0,19604300000.0,8522200000.0,-28764200000.0
Total Revenue,129771600000.0,134008400000.0,121922000000.0,108632800000.0
Total Operating Expenses,58778000000.0,53209100000.0,50921500000.0,59475900000.0
Cost Of Revenue,21197700000.0,18533900000.0,16636800000.0,16502300000.0
Total Other Income Expense Net,-36435900000.0,-66728100000.0,-45582100000.0,-26718300000.0
Discontinued Operations,,5744500000.0,-2255300000.0,-2255300000.0
Net Income From Continuing Ops,14128600000.0,-5533100000.0,16896200000.0,51202800000.0
Net Income Applicable To Common Shares,13323400000.0,240300000.0,14670600000.0,51214900000.0
