,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8698900000.0,5938700000.0,6073300000.0,5817700000.0
Minority Interest,,,,
Net Income,6517900000.0,4330800000.0,4191300000.0,3745900000.0
Selling General Administrative,7130200000.0,4884600000.0,4802800000.0,4038600000.0
Gross Profit,24090900000.0,18893600000.0,17035800000.0,15010700000.0
Ebit,8540100000.0,5904900000.0,5708200000.0,5913000000.0
Operating Income,8540100000.0,5904900000.0,5708200000.0,5913000000.0
Other Operating Expenses,7944000000.0,7625300000.0,6027000000.0,4535400000.0
Interest Expense,-13700000.0,-16400000.0,-16700000.0,-17800000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2181000000.0,1607900000.0,1882000000.0,2071800000.0
Total Revenue,35741400000.0,30019900000.0,29468500000.0,24552900000.0
Total Operating Expenses,27201300000.0,24115000000.0,23760300000.0,18639900000.0
Cost Of Revenue,11650500000.0,11126300000.0,12432700000.0,9542200000.0
Total Other Income Expense Net,158800000.0,33800000.0,365100000.0,-95300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,6517900000.0,4330800000.0,4191300000.0,3745900000.0
Net Income Applicable To Common Shares,6517900000.0,4330800000.0,4191300000.0,3745900000.0
