,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,16911300000.0,3337300000.0,3493000000.0,3621800000.0
Capital Surplus,260400000.0,232100000.0,100100000.0,
Total Liab,29974200000.0,18644400000.0,15592700000.0,14554100000.0
Total Stockholder Equity,55929600000.0,44556100000.0,41480900000.0,35740400000.0
Minority Interest,2400400000.0,2156500000.0,2071500000.0,1750100000.0
Other Current Liab,6140300000.0,3722500000.0,2441500000.0,2103400000.0
Total Assets,88304200000.0,65357000000.0,59145100000.0,52044600000.0
Common Stock,508200000.0,508100000.0,508000000.0,507800000.0
Other Current Assets,2191200000.0,1886800000.0,1539300000.0,2026400000.0
Retained Earnings,54704200000.0,43399300000.0,40613300000.0,35049800000.0
Other Liab,4696400000.0,1415000000.0,2500500000.0,2400600000.0
Good Will,12839500000.0,1840300000.0,1849900000.0,1774200000.0
Treasury Stock,456800000.0,416600000.0,259500000.0,182800000.0
Other Assets,2543000000.0,2389600000.0,2429500000.0,1902700000.0
Cash,4426500000.0,6922300000.0,1281200000.0,1493400000.0
Total Current Liabilities,24347100000.0,16147300000.0,13007100000.0,12082300000.0
Deferred Long Term Asset Charges,165900000.0,130000000.0,107200000.0,58600000.0
Short Long Term Debt,87100000.0,71000000.0,16900000.0,20200000.0
Other Stockholder Equity,456800000.0,416600000.0,259500000.0,182800000.0
Property Plant Equipment,17367100000.0,15482800000.0,11554500000.0,10303200000.0
Total Current Assets,35153700000.0,37609500000.0,35820000000.0,33087800000.0
Long Term Investments,3489600000.0,4697500000.0,3998200000.0,1354900000.0
Net Tangible Assets,26178800000.0,39378500000.0,36138000000.0,30344400000.0
Short Term Investments,62100000.0,66300000.0,578500000.0,176100000.0
Net Receivables,14226500000.0,12098800000.0,11431500000.0,10226500000.0
Long Term Debt,123900000.0,251300000.0,85100000.0,71100000.0
Inventory,12341500000.0,9294700000.0,9344500000.0,8043300000.0
Accounts Payable,10067400000.0,6210100000.0,5806400000.0,5438100000.0
