,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,15224900000.0,14697700000.0,13416200000.0,13588000000.0
Minority Interest,2400400000.0,2156500000.0,2071500000.0,1750100000.0
Net Income,11312100000.0,11164200000.0,9249100000.0,9623500000.0
Selling General Administrative,11622900000.0,12322100000.0,11155000000.0,9686400000.0
Gross Profit,38813300000.0,38517500000.0,34517600000.0,31498000000.0
Ebit,14880600000.0,14102300000.0,12517800000.0,12250100000.0
Operating Income,14880600000.0,14102300000.0,12517800000.0,12250100000.0
Other Operating Expenses,10303200000.0,10393900000.0,9576600000.0,8362700000.0
Interest Expense,-372300000.0,-336000000.0,-260700000.0,-155400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3963600000.0,3477200000.0,4132300000.0,3927100000.0
Total Revenue,72927100000.0,72944700000.0,70779600000.0,60784100000.0
Total Operating Expenses,58046500000.0,58842400000.0,58261800000.0,48534000000.0
Cost Of Revenue,34113800000.0,34427200000.0,36262000000.0,29286100000.0
Total Other Income Expense Net,344300000.0,595400000.0,898400000.0,1337900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,11261300000.0,11220500000.0,9283900000.0,9660900000.0
Net Income Applicable To Common Shares,11312100000.0,11164200000.0,9249100000.0,9623500000.0
