,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,722000000.0,725000000.0,348000000.0,275000000.0
Capital Surplus,21999000000.0,2249000000.0,2055000000.0,1984000000.0
Total Liab,16595000000.0,16057000000.0,8694000000.0,7016000000.0
Total Stockholder Equity,53424000000.0,26191000000.0,22854000000.0,19248000000.0
Deferred Long Term Liab,15000000.0,20000000.0,2000000.0,4000000.0
Other Current Liab,2640000000.0,2794000000.0,1957000000.0,1502000000.0
Total Assets,70019000000.0,42248000000.0,31548000000.0,26264000000.0
Common Stock,152000000.0,138000000.0,138000000.0,138000000.0
Other Current Assets,2066000000.0,1124000000.0,1685000000.0,1338000000.0
Retained Earnings,31028000000.0,24246000000.0,20440000000.0,16954000000.0
Other Liab,1167000000.0,740000000.0,480000000.0,416000000.0
Good Will,828000000.0,828000000.0,,
Treasury Stock,245000000.0,-442000000.0,221000000.0,172000000.0
Other Assets,639000000.0,720000000.0,784000000.0,763000000.0
Cash,1096000000.0,1246000000.0,614000000.0,1173000000.0
Total Current Liabilities,12570000000.0,11005000000.0,8115000000.0,6137000000.0
Short Long Term Debt,701000000.0,97000000.0,393000000.0,371000000.0
Other Stockholder Equity,296000000.0,-355000000.0,221000000.0,172000000.0
Property Plant Equipment,22692000000.0,19709000000.0,13335000000.0,10597000000.0
Total Current Assets,44931000000.0,20087000000.0,16909000000.0,14618000000.0
Long Term Investments,207000000.0,179000000.0,172000000.0,11000000.0
Net Tangible Assets,51874000000.0,24638000000.0,22506000000.0,18973000000.0
Short Term Investments,14895000000.0,71000000.0,240000000.0,82000000.0
Net Receivables,9166000000.0,8248000000.0,7854000000.0,5820000000.0
Long Term Debt,2574000000.0,3994000000.0,99000000.0,463000000.0
Inventory,10528000000.0,7989000000.0,5357000000.0,4520000000.0
Accounts Payable,7960000000.0,5909000000.0,5130000000.0,3687000000.0
Deferred Long Term Asset Charges,,,141000000.0,267000000.0
