,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,3250594000.0,1362686000.0,1731100000.0,945400000.0
Capital Surplus,443521403000.0,512149170000.0,355506200000.0,211092600000.0
Total Liab,11867039415000.0,7872201830000.0,7437476700000.0,7357022400000.0
Total Stockholder Equity,925343324000.0,638763736000.0,460843700000.0,415173000000.0
Minority Interest,4867891000.0,3606862000.0,2877000000.0,3085300000.0
Other Current Liab,32201876000.0,18240440000.0,20464900000.0,24330700000.0
Total Assets,12797250630000.0,8514572428000.0,7901197400000.0,7775280700000.0
Common Stock,20955364000.0,13475132000.0,9208100000.0,5521100000.0
Other Current Assets,589331149000.0,447745922000.0,389658900000.0,349928500000.0
Retained Earnings,169507952000.0,14209071000.0,12892000000.0,109327700000.0
Other Liab,147348548000.0,109755546000.0,112353000000.0,176243700000.0
Treasury Stock,291358605000.0,98930363000.0,83237400000.0,89231600000.0
Other Assets,7327590511000.0,5036699722000.0,4873976800000.0,4610538200000.0
Cash,725650171000.0,419141412000.0,468242300000.0,705794900000.0
Total Current Liabilities,11196709469000.0,7137322193000.0,6856844000000.0,6527482100000.0
Deferred Long Term Asset Charges,270214592000.0,200637431000.0,186312700000.0,132131400000.0
Other Stockholder Equity,291358605000.0,98930363000.0,83237400000.0,89231600000.0
Property Plant Equipment,107236470000.0,71257132000.0,60731100000.0,62764500000.0
Total Current Assets,1315483457000.0,867428172000.0,858975300000.0,1056845800000.0
Long Term Investments,4043689598000.0,2537824716000.0,2105783100000.0,2044186800000.0
Net Tangible Assets,922092730000.0,637401050000.0,459112600000.0,414227600000.0
Long Term Debt,522981398000.0,625124091000.0,468279700000.0,653296600000.0
Inventory,502137000.0,540838000.0,1074100000.0,1122400000.0
Accounts Payable,11137168634000.0,7102543673000.0,6818741800000.0,6484390100000.0
