,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,39840300000.0,43730400000.0,47500500000.0,52630900000.0
Capital Surplus,43400000.0,43400000.0,43400000.0,43400000.0
Total Liab,82374800000.0,91865200000.0,93965700000.0,96205100000.0
Total Stockholder Equity,58371700000.0,48232200000.0,47243500000.0,46221900000.0
Other Current Liab,5269800000.0,5437600000.0,5273100000.0,4701700000.0
Total Assets,140746500000.0,140097400000.0,141209200000.0,142432200000.0
Common Stock,846200000.0,846200000.0,846200000.0,846200000.0
Other Current Assets,1598500000.0,1277700000.0,1197200000.0,2159100000.0
Retained Earnings,55905100000.0,45414300000.0,41272300000.0,38291600000.0
Other Liab,3825900000.0,4285100000.0,3183300000.0,3068800000.0
Good Will,3412300000.0,3420900000.0,3347900000.0,3985200000.0
Treasury Stock,1577000000.0,1928300000.0,5081600000.0,7040700000.0
Other Assets,5293000000.0,6903000000.0,6538300000.0,4789600000.0
Cash,5725600000.0,6618200000.0,5887600000.0,8672300000.0
Total Current Liabilities,48916200000.0,54541600000.0,51653200000.0,52021700000.0
Deferred Long Term Asset Charges,4216600000.0,4332100000.0,3698500000.0,2759200000.0
Short Long Term Debt,11799900000.0,14182800000.0,11910700000.0,7252600000.0
Other Stockholder Equity,1577000000.0,1928300000.0,5081600000.0,7040700000.0
Property Plant Equipment,36287500000.0,35299200000.0,32799900000.0,28400100000.0
Total Current Assets,55232200000.0,49809200000.0,50375400000.0,52624100000.0
Long Term Investments,681200000.0,934700000.0,647200000.0,2300000.0
Net Tangible Assets,15119100000.0,1080900000.0,-3604900000.0,-10394200000.0
Short Term Investments,264200000.0,5000000.0,2234100000.0,313400000.0
Net Receivables,18893600000.0,19899700000.0,17788000000.0,16836900000.0
Long Term Debt,29410700000.0,32752200000.0,39129200000.0,41114600000.0
Inventory,26812000000.0,21482200000.0,19351500000.0,19663000000.0
Accounts Payable,20668100000.0,20487400000.0,20967400000.0,20482400000.0
Minority Interest,,,,5200000.0
