,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,172120000000.0,-82600000000.0,135600000000.0,195690000000.0
Minority Interest,151380000000.0,171120000000.0,152270000000.0,159610000000.0
Net Income,116020000000.0,-66640000000.0,70650000000.0,103420000000.0
Selling General Administrative,29270000000.0,27350000000.0,31460000000.0,26050000000.0
Gross Profit,471310000000.0,421850000000.0,445410000000.0,429480000000.0
Ebit,198830000000.0,124710000000.0,158570000000.0,189410000000.0
Operating Income,198830000000.0,124710000000.0,158570000000.0,189410000000.0
Other Operating Expenses,166760000000.0,176810000000.0,172960000000.0,151190000000.0
Interest Expense,-48810000000.0,-45990000000.0,-52110000000.0,-48350000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,21800000000.0,-35160000000.0,38620000000.0,58770000000.0
Total Revenue,871660000000.0,839540000000.0,913590000000.0,913720000000.0
Total Operating Expenses,672830000000.0,714830000000.0,755020000000.0,724310000000.0
Cost Of Revenue,400350000000.0,417690000000.0,468180000000.0,484240000000.0
Total Other Income Expense Net,-26710000000.0,-207310000000.0,-22970000000.0,6280000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,150320000000.0,-47440000000.0,96980000000.0,136920000000.0
Net Income Applicable To Common Shares,116020000000.0,-66640000000.0,70650000000.0,103420000000.0
