,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,322949240000.0,199155977000.0,100987679000.0,100058339000.0
Total Liab,2404551486000.0,2361372038000.0,3539721996000.0,2866971464000.0
Total Stockholder Equity,331382935000.0,216949599000.0,268874101000.0,257525072000.0
Other Current Liab,5686395000.0,5700891000.0,3913805000.0,9151490000.0
Total Assets,2735934421000.0,2578321637000.0,3808596097000.0,3124496536000.0
Common Stock,50109812000.0,25100944000.0,4630066000.0,4605934000.0
Other Current Assets,80409261000.0,65646017000.0,145588536000.0,134921450000.0
Retained Earnings,-59292959000.0,-19433920000.0,157133807000.0,148554889000.0
Other Liab,115627218000.0,142021949000.0,138542027000.0,80065480000.0
Treasury Stock,17616842000.0,12126598000.0,6122549000.0,4305910000.0
Other Assets,1969413319000.0,2023436305000.0,2592864510000.0,2158395529000.0
Cash,59068573000.0,27974439000.0,79895690000.0,27497767000.0
Total Current Liabilities,1788334918000.0,1761082469000.0,2634750709000.0,2251032104000.0
Deferred Long Term Asset Charges,95538433000.0,82809960000.0,25374714000.0,8762413000.0
Short Long Term Debt,138901498000.0,679637406000.0,317811829000.0,213061928000.0
Other Stockholder Equity,17616842000.0,12126598000.0,6122549000.0,4305910000.0
Property Plant Equipment,21583785000.0,10233842000.0,8298874000.0,8372959000.0
Total Current Assets,313790834000.0,107173456000.0,314147386000.0,274793661000.0
Long Term Investments,431146483000.0,437478034000.0,893285327000.0,682934387000.0
Net Tangible Assets,331382935000.0,216949599000.0,268874101000.0,257525072000.0
Short Term Investments,173960000000.0,13200000000.0,88310160000.0,112009654000.0
Long Term Debt,500589350000.0,458267620000.0,766429260000.0,535873880000.0
Inventory,353000000.0,353000000.0,353000000.0,364790000.0
Accounts Payable,1628459313000.0,1053111680000.0,2275579027000.0,2006886036000.0
