,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-47617752000.0,-208381933000.0,23490051000.0,62045363000.0
Minority Interest,,,,
Net Income,-34889279000.0,-164325804000.0,17092658000.0,42332200000.0
Selling General Administrative,36338089000.0,38996052000.0,37074459000.0,33159715000.0
Gross Profit,11555277000.0,-223830474000.0,87104330000.0,114780766000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,-47617752000.0,-292531933000.0,23490051000.0,62045363000.0
Other Operating Expenses,22834940000.0,29705407000.0,26539820000.0,19575688000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-12728473000.0,-44056129000.0,6397393000.0,19713163000.0
Total Revenue,11555277000.0,-223830474000.0,87104330000.0,114780766000.0
Total Operating Expenses,59173029000.0,68701459000.0,63614279000.0,52735403000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,84150000000.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-34889279000.0,-164325804000.0,17092658000.0,42332200000.0
Net Income Applicable To Common Shares,-34889279000.0,-164325804000.0,17092658000.0,42332200000.0
