,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,17088500000.0,20525200000.0,15101100000.0,13100600000.0
Minority Interest,32400000.0,31600000.0,30300000.0,28800000.0
Net Income,14301800000.0,13774100000.0,15204700000.0,9244100000.0
Selling General Administrative,43827100000.0,51483200000.0,50246200000.0,44905400000.0
Gross Profit,85683400000.0,96518000000.0,92960700000.0,84331000000.0
Ebit,17363200000.0,18019500000.0,15112400000.0,12335500000.0
Operating Income,17363200000.0,18019500000.0,15112400000.0,12335500000.0
Other Operating Expenses,18104700000.0,20950900000.0,21569900000.0,20653900000.0
Interest Expense,-412600000.0,-587100000.0,-661700000.0,-887100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2785900000.0,6749800000.0,-105100000.0,3855500000.0
Total Revenue,137859800000.0,156575500000.0,148016200000.0,132851300000.0
Total Operating Expenses,120496600000.0,138556000000.0,132903800000.0,120515800000.0
Cost Of Revenue,52176400000.0,60057500000.0,55055500000.0,48520300000.0
Total Other Income Expense Net,-274700000.0,2505700000.0,-11300000.0,765100000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,14302600000.0,13775400000.0,15206200000.0,9245100000.0
Net Income Applicable To Common Shares,14301800000.0,13774100000.0,15204700000.0,9244100000.0
