,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,51459500000.0,39743100000.0,31982800000.0,32904500000.0
Capital Surplus,9826400000.0,9826400000.0,9826400000.0,9826400000.0
Total Liab,327328500000.0,286884200000.0,273924700000.0,406276800000.0
Total Stockholder Equity,171585700000.0,169465700000.0,147559400000.0,150891700000.0
Minority Interest,17514400000.0,12633700000.0,3877700000.0,7778600000.0
Other Current Liab,28012900000.0,22800400000.0,20503800000.0,121380200000.0
Total Assets,516428600000.0,468983600000.0,425361800000.0,564947100000.0
Common Stock,1099800000.0,1099800000.0,1099800000.0,1099800000.0
Other Current Assets,21771500000.0,22447400000.0,15677000000.0,147297800000.0
Retained Earnings,131492600000.0,122289900000.0,112794800000.0,120307700000.0
Other Liab,15633500000.0,14514600000.0,15024600000.0,16962700000.0
Good Will,1519700000.0,1391300000.0,542200000.0,796600000.0
Treasury Stock,29166900000.0,36249600000.0,23838400000.0,19657800000.0
Other Assets,55642700000.0,30077400000.0,31202800000.0,34887500000.0
Cash,6661500000.0,21246900000.0,9738800000.0,11590300000.0
Total Current Liabilities,214830900000.0,232888800000.0,225092900000.0,342995400000.0
Deferred Long Term Asset Charges,765400000.0,2727700000.0,3493100000.0,3170500000.0
Short Long Term Debt,7078900000.0,7666500000.0,12918400000.0,7643300000.0
Other Stockholder Equity,29166900000.0,36249600000.0,23838400000.0,19657800000.0
Property Plant Equipment,143337500000.0,136778900000.0,115105100000.0,126752500000.0
Total Current Assets,199633100000.0,241829200000.0,231280100000.0,354563800000.0
Long Term Investments,64836100000.0,19163700000.0,15248800000.0,15042200000.0
Net Tangible Assets,118606500000.0,128331300000.0,115034400000.0,117190600000.0
Short Term Investments,7667400000.0,9626600000.0,4488200000.0,3318100000.0
Net Receivables,144632800000.0,160924000000.0,173644600000.0,167027300000.0
Long Term Debt,95233000000.0,35158100000.0,29922200000.0,42729800000.0
Inventory,17570400000.0,25623700000.0,26688200000.0,23425600000.0
Accounts Payable,117563400000.0,118136600000.0,119887300000.0,85490000000.0
