,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,780000000.0,20000000.0,11887000.0,7832000.0
Total Liab,265950000000.0,161150000000.0,127257479000.0,143671732000.0
Total Stockholder Equity,22000000000.0,23560000000.0,19333452000.0,13414062000.0
Minority Interest,-740000000.0,-460000000.0,-10981000.0,
Other Current Liab,13180000000.0,5940000000.0,12562750000.0,43203161000.0
Total Assets,287210000000.0,184250000000.0,146579950000.0,157085794000.0
Common Stock,15640000000.0,15640000000.0,15640143000.0,13767478000.0
Other Current Assets,13430000000.0,3760000000.0,890113000.0,3145773000.0
Retained Earnings,-7120000000.0,-8300000000.0,-7016814000.0,-2277786000.0
Other Liab,6170000000.0,1340000000.0,786302000.0,149348000.0
Good Will,30000000.0,30000000.0,29776000.0,
Treasury Stock,13480000000.0,16220000000.0,10710123000.0,1924370000.0
Other Assets,35480000000.0,18000000000.0,14165075000.0,10910974000.0
Cash,1840000000.0,6370000000.0,2540796000.0,2506016000.0
Total Current Liabilities,59280000000.0,30160000000.0,26990032000.0,59791879000.0
Deferred Long Term Asset Charges,4200000000.0,3500000000.0,3763651000.0,2456932000.0
Short Long Term Debt,4350000000.0,7670000000.0,4521607000.0,1397772000.0
Other Stockholder Equity,13480000000.0,16220000000.0,10710123000.0,1924370000.0
Property Plant Equipment,208000000000.0,137570000000.0,111270477000.0,108440909000.0
Total Current Assets,39890000000.0,25830000000.0,20735538000.0,37308524000.0
Long Term Investments,3030000000.0,2800000000.0,367197000.0,417555000.0
Net Tangible Assets,21190000000.0,23510000000.0,19291789000.0,13406230000.0
Short Term Investments,2700000000.0,340000000.0,668181000.0,38878000.0
Net Receivables,17760000000.0,11340000000.0,11060822000.0,12908625000.0
Long Term Debt,197460000000.0,126100000000.0,99481145000.0,83730505000.0
Inventory,1490000000.0,1960000000.0,4914780000.0,17879480000.0
Accounts Payable,1290000000.0,1750000000.0,1612455000.0,983486000.0
