,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1930000000.0,-570000000.0,-5882190000.0,-2102127000.0
Minority Interest,-740000000.0,-460000000.0,-10981000.0,-10981000.0
Net Income,2100000000.0,-230000000.0,-4739124000.0,-1375158000.0
Selling General Administrative,410000000.0,1150000000.0,761750000.0,490723000.0
Gross Profit,24160000000.0,19860000000.0,18840879000.0,9602734000.0
Ebit,17670000000.0,13900000000.0,6681098000.0,3012969000.0
Operating Income,17670000000.0,13900000000.0,6681098000.0,3012969000.0
Other Operating Expenses,1220000000.0,870000000.0,778434000.0,669171000.0
Interest Expense,-13770000000.0,-12840000000.0,-10616525000.0,-3548802000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,110000000.0,110000000.0,-1131631000.0,-726969000.0
Total Revenue,31290000000.0,25500000000.0,20770395000.0,14802822000.0
Total Operating Expenses,13620000000.0,11600000000.0,14089297000.0,11789853000.0
Cost Of Revenue,7130000000.0,5640000000.0,1929516000.0,5200088000.0
Total Other Income Expense Net,-15740000000.0,-14470000000.0,-12563288000.0,-5115096000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1820000000.0,-680000000.0,-4750559000.0,-1375158000.0
Net Income Applicable To Common Shares,1070000000.0,-1150000000.0,-5579379000.0,-1375158000.0
