,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,10247200000.0,9981500000.0,9852200000.0,2200000.0
Total Liab,332107200000.0,301501000000.0,246181600000.0,112089700000.0
Total Stockholder Equity,89192800000.0,84989600000.0,80428800000.0,60564900000.0
Minority Interest,11035800000.0,10621300000.0,,
Deferred Long Term Liab,14081900000.0,11225600000.0,11103800000.0,
Other Current Liab,15287300000.0,11628800000.0,8476100000.0,1394400000.0
Total Assets,432335800000.0,397111900000.0,326610400000.0,172654600000.0
Common Stock,10998100000.0,10998100000.0,10998100000.0,10998100000.0
Other Current Assets,15215400000.0,20010500000.0,13095300000.0,1611800000.0
Retained Earnings,25021900000.0,20389500000.0,15959700000.0,22816700000.0
Other Liab,28959300000.0,23691300000.0,18958800000.0,2864200000.0
Good Will,5928800000.0,5920900000.0,5901400000.0,3205600000.0
Treasury Stock,53172800000.0,53602000000.0,53471000000.0,26750100000.0
Other Assets,64318500000.0,41370500000.0,36043900000.0,38717600000.0
Cash,2636800000.0,12329900000.0,1882500000.0,6090900000.0
Total Current Liabilities,64170700000.0,53819400000.0,64181700000.0,23279900000.0
Short Long Term Debt,11857000000.0,7202700000.0,22001000000.0,8231300000.0
Other Stockholder Equity,53172800000.0,53602000000.0,53471000000.0,26750100000.0
Property Plant Equipment,306241400000.0,255462000000.0,235307000000.0,113232500000.0
Total Current Assets,45599900000.0,84377000000.0,38296700000.0,17496700000.0
Long Term Investments,31778700000.0,,1209200000.0,
Net Tangible Assets,73016800000.0,69087200000.0,64675200000.0,57357100000.0
Short Term Investments,1803800000.0,829800000.0,,
Net Receivables,23248900000.0,45599800000.0,18040200000.0,9392600000.0
Long Term Debt,238088100000.0,222896500000.0,163041100000.0,85945600000.0
Inventory,2337100000.0,5411700000.0,3661800000.0,353400000.0
Accounts Payable,12410100000.0,17515100000.0,12369200000.0,394900000.0
Deferred Long Term Asset Charges,,,1025800000.0,
