,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,16199000000.0,11066800000.0,8402400000.0,14716800000.0
Minority Interest,11035800000.0,10621300000.0,10621300000.0,10621300000.0
Net Income,12240400000.0,7418200000.0,5592000000.0,11429400000.0
Selling General Administrative,9460200000.0,9938900000.0,6203300000.0,505900000.0
Gross Profit,58240000000.0,64191700000.0,39599200000.0,30567500000.0
Ebit,26356400000.0,33387100000.0,19005400000.0,22467100000.0
Operating Income,26356400000.0,33387100000.0,19005400000.0,22467100000.0
Other Operating Expenses,8863200000.0,9119900000.0,5569000000.0,1800400000.0
Interest Expense,-18929600000.0,-21776600000.0,-13477700000.0,-6730400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3303300000.0,4001900000.0,2810400000.0,3287400000.0
Total Revenue,99263300000.0,114159600000.0,73054500000.0,39444800000.0
Total Operating Expenses,72906900000.0,80772500000.0,54049100000.0,16977700000.0
Cost Of Revenue,41023300000.0,49967900000.0,33455300000.0,8877300000.0
Total Other Income Expense Net,-10157400000.0,-22320300000.0,-10603000000.0,-7750300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,12895700000.0,7064900000.0,5592000000.0,11429400000.0
Net Income Applicable To Common Shares,9923600000.0,3585300000.0,2534900000.0,10934300000.0
