,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,2206300000.0,2138600000.0,1379700000.0,1180400000.0
Capital Surplus,124711600000.0,124711600000.0,124711600000.0,124711600000.0
Total Liab,106222100000.0,103675900000.0,97390600000.0,102327600000.0
Total Stockholder Equity,227576000000.0,240779900000.0,223704800000.0,206722000000.0
Minority Interest,63408900000.0,57367600000.0,52311900000.0,46079600000.0
Other Current Liab,49491100000.0,46434000000.0,35937400000.0,48865100000.0
Total Assets,397207000000.0,401823400000.0,373407300000.0,355129200000.0
Common Stock,3971300000.0,3971300000.0,3971300000.0,3971300000.0
Other Current Assets,15445000000.0,16308900000.0,15021200000.0,16317200000.0
Retained Earnings,97404700000.0,110631900000.0,93565300000.0,76582500000.0
Other Liab,9375900000.0,12620000000.0,13051200000.0,13313200000.0
Good Will,78761100000.0,78814900000.0,78814900000.0,78814900000.0
Treasury Stock,1488400000.0,1465100000.0,1456600000.0,1456600000.0
Other Assets,38353200000.0,34539100000.0,31489400000.0,26880400000.0
Cash,85715600000.0,90118800000.0,60931100000.0,58735100000.0
Total Current Liabilities,92604000000.0,90703100000.0,83942600000.0,88773200000.0
Deferred Long Term Asset Charges,29100000.0,41600000.0,38600000.0,37000000.0
Other Stockholder Equity,1488400000.0,1465100000.0,1456600000.0,1456600000.0
Property Plant Equipment,148110800000.0,141604200000.0,136246500000.0,135658900000.0
Total Current Assets,128048300000.0,143190100000.0,124068500000.0,110945600000.0
Long Term Investments,1727300000.0,1536500000.0,1408300000.0,1649000000.0
Net Tangible Assets,146608600000.0,159826400000.0,143510200000.0,126726700000.0
Short Term Investments,4700000.0,2800000.0,32100000.0,31000000.0
Net Receivables,10397200000.0,15794600000.0,18505200000.0,11279600000.0
Long Term Debt,436000000.0,352800000.0,396800000.0,241200000.0
Inventory,16485800000.0,20965000000.0,29578900000.0,24582700000.0
Accounts Payable,22134100000.0,23328800000.0,30062000000.0,28160100000.0
Short Long Term Debt,,57800000.0,,
