,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,859000000.0,547000000.0,351000000.0,409490000.0
Capital Surplus,28637000000.0,17139000000.0,17139000000.0,17138520000.0
Total Liab,66143000000.0,78687000000.0,57141000000.0,52288470000.0
Total Stockholder Equity,46025000000.0,33390000000.0,33335000000.0,32515050000.0
Minority Interest,1999000000.0,1307000000.0,1355000000.0,1324370000.0
Other Current Liab,2491000000.0,2917000000.0,3267000000.0,3298340000.0
Total Assets,114167000000.0,113384000000.0,91831000000.0,86127890000.0
Common Stock,719000000.0,696000000.0,696000000.0,695630000.0
Other Current Assets,4114000000.0,2036000000.0,1467000000.0,2353450000.0
Retained Earnings,17180000000.0,15513000000.0,14954000000.0,13851220000.0
Other Liab,8731000000.0,8119000000.0,8066000000.0,7334490000.0
Good Will,3753000000.0,3462000000.0,3462000000.0,3461990000.0
Treasury Stock,-511000000.0,42000000.0,546000000.0,829680000.0
Other Assets,4236000000.0,6705000000.0,7117000000.0,6206390000.0
Cash,4252000000.0,3807000000.0,2862000000.0,3063330000.0
Total Current Liabilities,20378000000.0,23373000000.0,19554000000.0,15672290000.0
Deferred Long Term Asset Charges,251000000.0,496000000.0,174000000.0,171680000.0
Short Long Term Debt,3647000000.0,2460000000.0,2210000000.0,1220820000.0
Other Stockholder Equity,-511000000.0,42000000.0,546000000.0,829680000.0
Property Plant Equipment,65457000000.0,72609000000.0,54156000000.0,50907610000.0
Total Current Assets,36413000000.0,26469000000.0,22817000000.0,22201250000.0
Long Term Investments,3449000000.0,3592000000.0,3928000000.0,2941160000.0
Net Tangible Assets,41413000000.0,29381000000.0,29522000000.0,28643570000.0
Net Receivables,14889000000.0,11928000000.0,11458000000.0,10091380000.0
Long Term Debt,24734000000.0,28520000000.0,29514000000.0,29256960000.0
Inventory,2495000000.0,7378000000.0,5848000000.0,5658420000.0
Accounts Payable,11600000000.0,9088000000.0,7131000000.0,6060240000.0
