,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,37657400000.0,33136700000.0,31700200000.0,27394500000.0
Minority Interest,69506700000.0,45360800000.0,45360800000.0,45360800000.0
Net Income,36498300000.0,29920000000.0,30483800000.0,26547500000.0
Selling General Administrative,441700000.0,455200000.0,291900000.0,238200000.0
Gross Profit,4446300000.0,4178500000.0,4296400000.0,4229200000.0
Ebit,3190100000.0,2752700000.0,3538600000.0,3545900000.0
Operating Income,3190100000.0,2752700000.0,3538600000.0,3545900000.0
Other Operating Expenses,478600000.0,637500000.0,425100000.0,392900000.0
Interest Expense,-38000000.0,-125400000.0,-125400000.0,-125400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1115900000.0,2334800000.0,1216400000.0,847000000.0
Total Revenue,4579000000.0,4354300000.0,4313300000.0,4243700000.0
Total Operating Expenses,1388900000.0,1601600000.0,774700000.0,697800000.0
Cost Of Revenue,132700000.0,175800000.0,16900000.0,14500000.0
Total Other Income Expense Net,34467300000.0,30384000000.0,28161600000.0,23848600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,36541500000.0,30801900000.0,30483800000.0,26547500000.0
Net Income Applicable To Common Shares,36498300000.0,29920000000.0,30483800000.0,26547500000.0
