,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,54143673708.0,54074512773.0,54591146702.0,54472955737.0
Total Liab,975848699000.0,765223398095.0,452399654701.0,349281090063.0
Total Stockholder Equity,174081837000.0,151954593270.0,112017470841.0,93819471419.0
Other Current Liab,2698525914.0,1436947872.0,1549877722.0,695146355.0
Total Assets,1149930536000.0,917177991365.0,564417125542.0,443100561482.0
Common Stock,16105992000.0,16102478430.0,11930828550.0,11928049440.0
Other Current Assets,52487041398.0,62592980297.0,37602437827.0,28163680097.0
Retained Earnings,102074090688.0,80847429751.0,44616956225.0,27418466242.0
Other Liab,26522879000.0,19676985343.0,8438224842.0,5841294395.0
Treasury Stock,157975845000.0,930172316.0,878539364.0,
Other Assets,831580093000.0,671089610976.0,400143035175.0,300087708342.0
Cash,52353864000.0,25590410410.0,22980109535.0,27395923696.0
Total Current Liabilities,779722248000.0,611253240632.0,437790946785.0,341097929665.0
Deferred Long Term Asset Charges,2284158266.0,2100926677.0,2271450000.0,1587008395.0
Short Long Term Debt,109863100000.0,36246900000.0,3613500000.0,1250000000.0
Other Stockholder Equity,157975845000.0,930172316.0,878539364.0,
Property Plant Equipment,4867121000.0,3687674414.0,3311959281.0,2381283507.0
Total Current Assets,61929447000.0,88882961941.0,60587282983.0,56912161396.0
Long Term Investments,251553875000.0,153517744034.0,100374848103.0,83719408237.0
Net Tangible Assets,174081837000.0,151954593270.0,112017470841.0,93819471419.0
Net Receivables,9575583000.0,4938238.0,,
Long Term Debt,169603572000.0,134293172120.0,6170483074.0,2341866003.0
Inventory,637344350.0,694632996.0,,
Accounts Payable,779722248000.0,570815035533.0,432316202686.0,338690019980.0
Short Term Investments,,,4735621.0,1352557603.0
