,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,29486549000.0,40534175528.0,30130518926.0,20558968149.0
Minority Interest,,,,
Net Income,22054570000.0,30237375528.0,19515018926.0,13455568149.0
Selling General Administrative,16646304000.0,18701452843.0,13921455666.0,10135377988.0
Gross Profit,57658107000.0,64799597252.0,48233309632.0,33642071546.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,29486549000.0,40534175528.0,30130518926.0,20558968149.0
Other Operating Expenses,11525254000.0,5563968881.0,4181335040.0,2947725409.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,7431979000.0,10296800000.0,10615500000.0,7103400000.0
Total Revenue,57658107000.0,64799597252.0,48233309632.0,33642071546.0
Total Operating Expenses,28171558000.0,24265421724.0,18102790706.0,13083103397.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,22054570000.0,30237375528.0,19515018926.0,13455568149.0
Net Income Applicable To Common Shares,22054570000.0,30237375528.0,19515018926.0,13455568149.0
