,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,426088920000.0,382211516000.0,161325546000.0,160929380000.0
Total Liab,11198500116000.0,11234516635000.0,7643344598000.0,7009661616000.0
Total Stockholder Equity,823895795000.0,761042979000.0,549961200000.0,465662329000.0
Minority Interest,4361961000.0,3861746000.0,3413648000.0,2725241000.0
Other Current Liab,28520883000.0,60723415000.0,30098156000.0,26111718000.0
Total Assets,12026757872000.0,11999421360000.0,8196719446000.0,7478049186000.0
Common Stock,10342724000.0,9241133000.0,5291032000.0,5291032000.0
Other Current Assets,523038816000.0,447889834000.0,370165338000.0,311513293000.0
Retained Earnings,226415297000.0,206274118000.0,247988387000.0,234076862000.0
Other Liab,453498036000.0,432613553000.0,230203226000.0,225964645000.0
Good Will,2239076000.0,2239076000.0,2239076000.0,
Treasury Stock,161048854000.0,163316212000.0,135356235000.0,65365055000.0
Other Assets,7672492015000.0,7545104914000.0,5064531203000.0,4594469425000.0
Cash,928228585000.0,1016482459000.0,731184349000.0,765371375000.0
Total Current Liabilities,10032368701000.0,9844376095000.0,6724466055000.0,6135098801000.0
Deferred Long Term Asset Charges,102549408000.0,145746258000.0,74465517000.0,63522628000.0
Other Stockholder Equity,161048854000.0,163316212000.0,135356235000.0,65365055000.0
Property Plant Equipment,82169366000.0,90437847000.0,71437076000.0,55322812000.0
Total Current Assets,1451267401000.0,1464372293000.0,1101349687000.0,1076884668000.0
Long Term Investments,2818590014000.0,2897267230000.0,1957162404000.0,1751372281000.0
Net Tangible Assets,821656719000.0,758803903000.0,547722124000.0,465662329000.0
Long Term Debt,712633379000.0,957526987000.0,688675317000.0,648598170000.0
Accounts Payable,9959098098000.0,9732281492000.0,6655886854000.0,6074513648000.0
