,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,16202966000.0,9807125000.0,16037767000.0,-20294412000.0
Minority Interest,4361961000.0,3861746000.0,3413648000.0,2725241000.0
Net Income,15476657000.0,9277510000.0,11001011000.0,-18871074000.0
Selling General Administrative,182065233000.0,164591591000.0,97203086000.0,87916209000.0
Gross Profit,245713664000.0,223136651000.0,142935511000.0,92208996000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,14538966000.0,9421844000.0,15245840000.0,-21056825000.0
Other Operating Expenses,49109465000.0,49123216000.0,30486585000.0,25349612000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,4375100000.0,-1936200000.0
Total Revenue,245713664000.0,223136651000.0,142935511000.0,92208996000.0
Total Operating Expenses,231174698000.0,213714807000.0,127689671000.0,113265821000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,1664000000.0,385281000.0,791927000.0,762413000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,16202966000.0,9807125000.0,11662667000.0,-18358212000.0
Net Income Applicable To Common Shares,15476657000.0,9277510000.0,11001011000.0,-18871074000.0
