,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9786200000.0,8831600000.0,7651600000.0,7047400000.0
Minority Interest,70600000.0,71100000.0,34500000.0,34500000.0
Net Income,7197500000.0,6578100000.0,4943000000.0,4608300000.0
Selling General Administrative,7201100000.0,7213300000.0,6146800000.0,6585600000.0
Gross Profit,29170500000.0,26071700000.0,23327100000.0,21314600000.0
Ebit,10021900000.0,8847000000.0,7720900000.0,6842200000.0
Operating Income,10021900000.0,8847000000.0,7720900000.0,6842200000.0
Other Operating Expenses,9836100000.0,8101300000.0,7636700000.0,6562600000.0
Interest Expense,-438300000.0,-458400000.0,-470000000.0,-243400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2589000000.0,2270600000.0,2712700000.0,2439100000.0
Total Revenue,68175900000.0,63658200000.0,60618600000.0,51657300000.0
Total Operating Expenses,58154000000.0,54811200000.0,52897700000.0,44815100000.0
Cost Of Revenue,39005400000.0,37586500000.0,37291500000.0,30342700000.0
Total Other Income Expense Net,-235700000.0,-15400000.0,-69300000.0,205200000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7197200000.0,6561000000.0,4938900000.0,4608300000.0
Net Income Applicable To Common Shares,7197500000.0,6578100000.0,4943000000.0,4608300000.0
