,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,11736000000.0,10427000000.0,8039000000.0,5673000000.0
Capital Surplus,619000000.0,238000000.0,1171000000.0,1032000000.0
Total Liab,100147000000.0,70607000000.0,54855000000.0,43412000000.0
Total Stockholder Equity,76269000000.0,67058000000.0,60980000000.0,51808000000.0
Minority Interest,8807000000.0,6773000000.0,6089000000.0,4677000000.0
Other Current Liab,11249000000.0,11257000000.0,8124000000.0,5863000000.0
Total Assets,185223000000.0,144438000000.0,121924000000.0,99897000000.0
Common Stock,6000000000.0,6000000000.0,3000000000.0,3000000000.0
Other Current Assets,4227000000.0,2853000000.0,2309000000.0,1545000000.0
Retained Earnings,63975000000.0,60758000000.0,55548000000.0,45753000000.0
Other Liab,27289000000.0,17474000000.0,9063000000.0,4101000000.0
Good Will,264000000.0,264000000.0,264000000.0,264000000.0
Treasury Stock,5675000000.0,62000000.0,1261000000.0,2023000000.0
Other Assets,8757000000.0,8432000000.0,7515000000.0,7750000000.0
Cash,9531000000.0,9101000000.0,7298000000.0,5012000000.0
Total Current Liabilities,42101000000.0,40080000000.0,30385000000.0,21413000000.0
Deferred Long Term Asset Charges,3077000000.0,3680000000.0,3247000000.0,1934000000.0
Short Long Term Debt,8028000000.0,7356000000.0,6202000000.0,3432000000.0
Other Stockholder Equity,7018000000.0,1407000000.0,2405000000.0,2852000000.0
Property Plant Equipment,79641000000.0,70980000000.0,55396000000.0,44086000000.0
Total Current Assets,76004000000.0,53250000000.0,48885000000.0,41486000000.0
Long Term Investments,8821000000.0,1085000000.0,1825000000.0,638000000.0
Net Tangible Assets,64269000000.0,56367000000.0,52677000000.0,45871000000.0
Short Term Investments,16470000000.0,8895000000.0,10371000000.0,14327000000.0
Net Receivables,20168000000.0,16790000000.0,16784000000.0,12554000000.0
Long Term Debt,29616000000.0,12222000000.0,15256000000.0,17738000000.0
Inventory,18666000000.0,14359000000.0,10316000000.0,7225000000.0
Accounts Payable,15139000000.0,13251000000.0,11983000000.0,10053000000.0
