,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,8000000.0,8000000.0,8000000.0,8000000.0
Total Liab,49514000000.0,40506000000.0,35834000000.0,39461000000.0
Total Stockholder Equity,98129000000.0,92607000000.0,91178000000.0,99726000000.0
Deferred Long Term Liab,15000000.0,46000000.0,67000000.0,
Other Current Liab,17135000000.0,12617000000.0,12791000000.0,10734000000.0
Total Assets,147643000000.0,133113000000.0,127012000000.0,139187000000.0
Common Stock,295000000.0,295000000.0,295000000.0,305000000.0
Other Current Assets,10727000000.0,10401000000.0,11975000000.0,11882000000.0
Retained Earnings,87551000000.0,85543000000.0,82700000000.0,92088000000.0
Other Liab,4255000000.0,3295000000.0,3523000000.0,4270000000.0
Treasury Stock,10275000000.0,6761000000.0,8175000000.0,7325000000.0
Other Assets,9851000000.0,8737000000.0,7948000000.0,8270000000.0
Cash,2889000000.0,2552000000.0,1910000000.0,3633000000.0
Total Current Liabilities,44919000000.0,36690000000.0,32311000000.0,35191000000.0
Deferred Long Term Asset Charges,5059000000.0,4566000000.0,4596000000.0,4905000000.0
Other Stockholder Equity,10275000000.0,6761000000.0,8175000000.0,7325000000.0
Property Plant Equipment,15967000000.0,16824000000.0,16550000000.0,14543000000.0
Total Current Assets,87605000000.0,70193000000.0,64432000000.0,73347000000.0
Long Term Investments,34220000000.0,37359000000.0,38082000000.0,43027000000.0
Net Tangible Assets,98129000000.0,92607000000.0,91178000000.0,99726000000.0
Short Term Investments,22535000000.0,20245000000.0,10838000000.0,15678000000.0
Net Receivables,21193000000.0,22868000000.0,22895000000.0,20607000000.0
Inventory,12985000000.0,11159000000.0,14443000000.0,12258000000.0
Accounts Payable,22230000000.0,16050000000.0,15775000000.0,20231000000.0
