,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5666000000.0,9194000000.0,23343000000.0,20409000000.0
Minority Interest,,,,
Net Income,4820000000.0,6495000000.0,15983000000.0,13711000000.0
Selling General Administrative,9498000000.0,12864000000.0,14098000000.0,14379000000.0
Gross Profit,38140000000.0,43048000000.0,52859000000.0,52566000000.0
Ebit,8565000000.0,11310000000.0,17836000000.0,16616000000.0
Operating Income,8565000000.0,11310000000.0,17836000000.0,16616000000.0
Other Operating Expenses,15669000000.0,14970000000.0,16858000000.0,16788000000.0
Interest Expense,-140000000.0,-102000000.0,-89000000.0,-33000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,846000000.0,3349000000.0,7406000000.0,6698000000.0
Total Revenue,95866000000.0,96142000000.0,119611000000.0,115580000000.0
Total Operating Expenses,87301000000.0,84832000000.0,101775000000.0,98964000000.0
Cost Of Revenue,57726000000.0,53094000000.0,66752000000.0,63014000000.0
Total Other Income Expense Net,-2899000000.0,-2116000000.0,5507000000.0,3793000000.0
Discontinued Operations,,650000000.0,46000000.0,46000000.0
Net Income From Continuing Ops,4820000000.0,5845000000.0,15937000000.0,13711000000.0
Net Income Applicable To Common Shares,4820000000.0,6495000000.0,15983000000.0,13711000000.0
