,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,291100000.0,312700000.0,361700000.0,258300000.0
Capital Surplus,28660500000.0,28567800000.0,16685000000.0,16668000000.0
Total Liab,650443600000.0,558585200000.0,512814100000.0,390409800000.0
Total Stockholder Equity,95998000000.0,81998600000.0,62087100000.0,51254600000.0
Other Current Liab,2483000000.0,1002200000.0,1296200000.0,1010500000.0
Total Assets,746441600000.0,640583800000.0,574901200000.0,441667800000.0
Common Stock,1640000000.0,1639100000.0,1563600000.0,1563300000.0
Other Current Assets,38742000000.0,35934300000.0,6070100000.0,6955900000.0
Retained Earnings,66028700000.0,51882100000.0,43386100000.0,32677300000.0
Other Liab,4740100000.0,3362300000.0,2863300000.0,2783000000.0
Treasury Stock,-331200000.0,-90400000.0,452400000.0,346000000.0
Other Assets,7883900000.0,5413600000.0,4746700000.0,3881900000.0
Cash,15932300000.0,34951400000.0,31643500000.0,3095800000.0
Total Current Liabilities,253162700000.0,178293000000.0,162700600000.0,119183000000.0
Deferred Long Term Asset Charges,7689700000.0,5274700000.0,4601200000.0,3658100000.0
Short Long Term Debt,200521900000.0,143468800000.0,108324100000.0,91858000000.0
Other Stockholder Equity,-331200000.0,-90400000.0,452400000.0,346000000.0
Property Plant Equipment,2082600000.0,2623600000.0,1449700000.0,1414100000.0
Total Current Assets,720349100000.0,631906900000.0,567928100000.0,435816200000.0
Long Term Investments,15834900000.0,327000000.0,415000000.0,227200000.0
Net Tangible Assets,95706900000.0,81685900000.0,61725400000.0,50926200000.0
Net Receivables,665216100000.0,559879200000.0,529327600000.0,425704600000.0
Long Term Debt,392060500000.0,376203200000.0,347250200000.0,268443800000.0
Accounts Payable,2793000000.0,2204700000.0,2314500000.0,2140300000.0
Minority Interest,,,,3400000.0
Good Will,,,,70100000.0
