,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,20473700000.0,15878000000.0,18311800000.0,14008100000.0
Minority Interest,,,,3400000.0
Net Income,15208600000.0,10537200000.0,11980600000.0,9193300000.0
Selling General Administrative,8111000000.0,7270000000.0,6745100000.0,6087500000.0
Gross Profit,50158500000.0,41302200000.0,35107500000.0,29250600000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,20446400000.0,15883500000.0,18114100000.0,14005000000.0
Other Operating Expenses,20578100000.0,17036200000.0,9678400000.0,8649500000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5265100000.0,5340800000.0,6345900000.0,4831200000.0
Total Revenue,50194500000.0,41343100000.0,35139400000.0,29273500000.0
Total Operating Expenses,29748100000.0,25459600000.0,17025300000.0,15268500000.0
Cost Of Revenue,36000000.0,40900000.0,31900000.0,22900000.0
Total Other Income Expense Net,27300000.0,-5500000.0,197700000.0,3100000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,15208600000.0,10537200000.0,11965900000.0,9176900000.0
Net Income Applicable To Common Shares,15208600000.0,10537200000.0,11980600000.0,9177000000.0
