,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,13502191000.0,10433583000.0,11425551000.0,9830315000.0
Minority Interest,,,,
Net Income,10353854000.0,8164660000.0,7755688000.0,6733749000.0
Selling General Administrative,9957901000.0,9636337000.0,9068687000.0,8792299000.0
Gross Profit,32500371000.0,29129608000.0,28730598000.0,26697258000.0
Ebit,13370493000.0,10218999000.0,10794697000.0,9603760000.0
Operating Income,13370493000.0,10218999000.0,10794697000.0,9603760000.0
Other Operating Expenses,7347004000.0,7293918000.0,7283872000.0,6738954000.0
Interest Expense,-72590000.0,-96155000.0,-24953000.0,-24953000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3148337000.0,2268923000.0,3669863000.0,3096566000.0
Total Revenue,48412156000.0,45250834000.0,44624318000.0,41879779000.0
Total Operating Expenses,35041663000.0,35031835000.0,33829621000.0,32276019000.0
Cost Of Revenue,15911785000.0,16121226000.0,15893720000.0,15182521000.0
Total Other Income Expense Net,131698000.0,214584000.0,630854000.0,226555000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,10353854000.0,8164660000.0,7755688000.0,6733749000.0
Net Income Applicable To Common Shares,10353854000.0,8164660000.0,7755688000.0,6733749000.0
