,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1464758000.0,1511469000.0,1581510000.0,1635720000.0
Capital Surplus,250711540000.0,250711540000.0,192875470000.0,108392624000.0
Total Liab,194454594000.0,227646358000.0,333053296000.0,272969823000.0
Total Stockholder Equity,353439278000.0,344467430000.0,335765448000.0,353104431000.0
Minority Interest,202835000.0,184082000.0,405848000.0,487989000.0
Other Current Liab,82446217000.0,104687917000.0,129396356000.0,45799847000.0
Total Assets,548096707000.0,572297870000.0,669224592000.0,626562243000.0
Common Stock,4950623000.0,4950623000.0,4414444000.0,3568134000.0
Other Current Assets,10287877000.0,11432679000.0,34025186000.0,16393407000.0
Retained Earnings,97620244000.0,87795428000.0,100976091000.0,144157932000.0
Other Liab,30712630000.0,28737936000.0,18377586000.0,39722226000.0
Good Will,9442534000.0,9442534000.0,10091635000.0,10091635000.0
Treasury Stock,156871000.0,1009839000.0,37499443000.0,96985741000.0
Other Assets,67666555000.0,75731312000.0,94358354000.0,105046031000.0
Cash,14068739000.0,24204252000.0,48553682000.0,22779308000.0
Total Current Liabilities,128691292000.0,157819952000.0,258531929000.0,170858261000.0
Deferred Long Term Asset Charges,13220216000.0,13393289000.0,23769192000.0,20716960000.0
Short Long Term Debt,10237270000.0,17730326000.0,24443704000.0,24438204000.0
Other Stockholder Equity,156871000.0,1009839000.0,37499443000.0,96985741000.0
Property Plant Equipment,13060110000.0,15847066000.0,15615052000.0,16861858000.0
Total Current Assets,265930367000.0,287930049000.0,337838778000.0,294547390000.0
Long Term Investments,190532383000.0,181835440000.0,209739263000.0,198379609000.0
Net Tangible Assets,342531986000.0,333513427000.0,324092303000.0,341377076000.0
Short Term Investments,3644916000.0,1328816000.0,7208962000.0,22050418000.0
Net Receivables,23519111000.0,22991083000.0,27965447000.0,25837497000.0
Long Term Debt,32948014000.0,38901172000.0,56143781000.0,62389336000.0
Inventory,210866364000.0,224862419000.0,220085501000.0,197529200000.0
Accounts Payable,12344641000.0,10562569000.0,12771977000.0,12175274000.0
