,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,14834500000.0,17447700000.0,14219400000.0,12220700000.0
Minority Interest,4000000.0,4600000.0,5600000.0,6400000.0
Net Income,10994900000.0,13010800000.0,9025400000.0,8062600000.0
Selling General Administrative,5377800000.0,4572300000.0,4356000000.0,3324300000.0
Gross Profit,35052400000.0,36865000000.0,29262900000.0,23477500000.0
Ebit,13335600000.0,17567800000.0,14244200000.0,11987500000.0
Operating Income,13335600000.0,17567800000.0,14244200000.0,11987500000.0
Other Operating Expenses,12197400000.0,10980800000.0,8582500000.0,6575700000.0
Interest Expense,-414000000.0,-679700000.0,-467700000.0,-560000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3840200000.0,4437900000.0,5194800000.0,4157900000.0
Total Revenue,241430600000.0,248702000000.0,200045200000.0,150332000000.0
Total Operating Expenses,228095000000.0,231134200000.0,185801000000.0,138344500000.0
Cost Of Revenue,206378200000.0,211837000000.0,170782300000.0,126854500000.0
Total Other Income Expense Net,1498900000.0,-120100000.0,-24800000.0,233200000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,10994300000.0,13009800000.0,9024600000.0,8062800000.0
Net Income Applicable To Common Shares,10994900000.0,13010800000.0,9025400000.0,8062600000.0
