,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,77254500000.0,104289400000.0,98311900000.0,69231900000.0
Minority Interest,974900000.0,870400000.0,459500000.0,389200000.0
Net Income,61363500000.0,94220500000.0,65457400000.0,47990700000.0
Selling General Administrative,17193700000.0,16711100000.0,19368900000.0,14022900000.0
Gross Profit,136467000000.0,156555900000.0,168496900000.0,136683300000.0
Ebit,52672300000.0,73432100000.0,83629200000.0,65181500000.0
Operating Income,52672300000.0,73432100000.0,83629200000.0,65181500000.0
Other Operating Expenses,44925000000.0,45608100000.0,48807300000.0,41944700000.0
Interest Expense,-1679000000.0,-3089800000.0,-1666200000.0,-3265500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,15826300000.0,9143000000.0,32784200000.0,21228500000.0
Total Revenue,573719100000.0,725177000000.0,761898900000.0,544963500000.0
Total Operating Expenses,521046800000.0,651744900000.0,678269700000.0,479782000000.0
Cost Of Revenue,437252100000.0,568621100000.0,593402000000.0,408280200000.0
Total Other Income Expense Net,24582200000.0,30857300000.0,14682700000.0,4050400000.0
Discontinued Operations,,,,47100000.0
Net Income From Continuing Ops,61428200000.0,95146400000.0,65527700000.0,48003400000.0
Net Income Applicable To Common Shares,61363500000.0,94220500000.0,65457400000.0,47990700000.0
