,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,18401090000.0,5889940000.0,5889940000.0,5889940000.0
Total Liab,5928400000.0,4398040000.0,6615500000.0,5191090000.0
Total Stockholder Equity,59032420000.0,36462350000.0,28619990000.0,24103590000.0
Other Current Liab,800490000.0,643160000.0,612830000.0,808920000.0
Total Assets,64960820000.0,40860390000.0,35235490000.0,29294680000.0
Common Stock,163590000.0,154950000.0,154950000.0,154950000.0
Other Current Assets,769810000.0,891990000.0,1534320000.0,198610000.0
Retained Earnings,40258030000.0,30288400000.0,22558680000.0,18040120000.0
Other Liab,756140000.0,757870000.0,1227700000.0,1332900000.0
Treasury Stock,209710000.0,129060000.0,16420000.0,18580000.0
Other Assets,804020000.0,831830000.0,1132220000.0,1544510000.0
Cash,4924630000.0,1694970000.0,2364020000.0,3728410000.0
Total Current Liabilities,5125280000.0,3590230000.0,5327690000.0,3791890000.0
Short Long Term Debt,1350000.0,8910000.0,5300000.0,4260000.0
Other Stockholder Equity,209710000.0,129060000.0,16420000.0,18580000.0
Property Plant Equipment,12920380000.0,11565660000.0,10528710000.0,10426500000.0
Total Current Assets,51236420000.0,28462900000.0,23574560000.0,17321630000.0
Net Tangible Assets,59032420000.0,36462350000.0,28619990000.0,24103590000.0
Short Term Investments,25106850000.0,11427280000.0,4843450000.0,2782990000.0
Net Receivables,7444650000.0,6643910000.0,5520480000.0,5307930000.0
Long Term Debt,39340000.0,40690000.0,49600000.0,54890000.0
Inventory,12881650000.0,7713530000.0,9227120000.0,5199940000.0
Accounts Payable,4007250000.0,2490940000.0,4461980000.0,2918110000.0
Long Term Investments,,,,2040000.0
