,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,20803600000.0,17604000000.0,20853300000.0,20388800000.0
Minority Interest,,,,
Net Income,17208200000.0,14965800000.0,23415300000.0,16341800000.0
Selling General Administrative,21748600000.0,20546200000.0,22106300000.0,21603400000.0
Gross Profit,60170700000.0,55631100000.0,56832300000.0,54934300000.0
Ebit,22392400000.0,19477500000.0,19614100000.0,19454000000.0
Operating Income,22392400000.0,19477500000.0,19614100000.0,19454000000.0
Other Operating Expenses,13948500000.0,13589600000.0,13348000000.0,12260100000.0
Interest Expense,-959300000.0,-1600700000.0,-1649000000.0,-1203900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3595400000.0,2638200000.0,-2562000000.0,4047000000.0
Total Revenue,110286200000.0,99108000000.0,103143400000.0,98474300000.0
Total Operating Expenses,87893800000.0,79630500000.0,83529300000.0,79020300000.0
Cost Of Revenue,50115500000.0,43476900000.0,46311100000.0,43540000000.0
Total Other Income Expense Net,-1588800000.0,-1873500000.0,1239200000.0,934800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,17208200000.0,14965800000.0,23415300000.0,16341800000.0
Net Income Applicable To Common Shares,17208200000.0,14965800000.0,23415300000.0,16341800000.0
