,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,14375500000.0,9043700000.0,11473400000.0,9773100000.0
Minority Interest,,,,76500000.0
Net Income,10443100000.0,7353500000.0,7876100000.0,6623700000.0
Selling General Administrative,10887900000.0,13142100000.0,13524700000.0,10673000000.0
Gross Profit,39098200000.0,35437400000.0,37336900000.0,31332600000.0
Ebit,13239700000.0,8174100000.0,10395100000.0,9049200000.0
Operating Income,13239700000.0,8174100000.0,10395100000.0,9049200000.0
Other Operating Expenses,12467200000.0,11933300000.0,11919900000.0,10205400000.0
Interest Expense,-684700000.0,-161700000.0,-137000000.0,-205500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3932400000.0,1687600000.0,3594000000.0,3038300000.0
Total Revenue,104573000000.0,94402600000.0,100734300000.0,81464100000.0
Total Operating Expenses,91333300000.0,86228500000.0,90339200000.0,72414900000.0
Cost Of Revenue,65474800000.0,58965200000.0,63397400000.0,50131500000.0
Total Other Income Expense Net,1135800000.0,869600000.0,1078300000.0,723900000.0
Discontinued Operations,,-2600000.0,-3300000.0,-125100000.0
Net Income From Continuing Ops,10443100000.0,7356100000.0,7879400000.0,6734800000.0
Net Income Applicable To Common Shares,10443100000.0,7353500000.0,7876100000.0,6623700000.0
