,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,17489500000.0,16530500000.0,13747000000.0,10582300000.0
Minority Interest,,,,
Net Income,13257600000.0,12624100000.0,9306000000.0,7112900000.0
Selling General Administrative,153500000.0,271700000.0,742200000.0,1149400000.0
Gross Profit,19645300000.0,19002700000.0,16273900000.0,13371800000.0
Ebit,17580400000.0,16645100000.0,14146700000.0,10583200000.0
Operating Income,17580400000.0,16645100000.0,14146700000.0,10583200000.0
Other Operating Expenses,1357300000.0,1582200000.0,1256500000.0,1545600000.0
Interest Expense,-89500000.0,-89800000.0,-89800000.0,-89800000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4231900000.0,3906400000.0,4441000000.0,3469400000.0
Total Revenue,22018800000.0,21425100000.0,20967500000.0,18698600000.0
Total Operating Expenses,4438400000.0,4780000000.0,6820800000.0,8115400000.0
Cost Of Revenue,2373500000.0,2422400000.0,4693600000.0,5326800000.0
Total Other Income Expense Net,-90900000.0,-114600000.0,-399700000.0,-900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,13257600000.0,12624100000.0,9306000000.0,7112900000.0
Net Income Applicable To Common Shares,13257600000.0,12624100000.0,9306000000.0,7112900000.0
