,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,141970000000.0,13742900000.0,100392000000.0,101101400000.0
Minority Interest,,,,
Net Income,106628900000.0,26387300000.0,66906300000.0,72182800000.0
Selling General Administrative,36246700000.0,36738500000.0,34987400000.0,34364400000.0
Gross Profit,300765700000.0,193980000000.0,245598500000.0,227921700000.0
Ebit,124290600000.0,31680600000.0,90681200000.0,79691800000.0
Operating Income,124290600000.0,31680600000.0,90681200000.0,79691800000.0
Other Operating Expenses,103962100000.0,91552600000.0,88887400000.0,84930000000.0
Interest Expense,-9470300000.0,-11179300000.0,-7592000000.0,-5702600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,35341100000.0,-12644400000.0,33485700000.0,28918600000.0
Total Revenue,2321641800000.0,2679237500000.0,2742552300000.0,2186469300000.0
Total Operating Expenses,2197351200000.0,2647556900000.0,2651871100000.0,2106777500000.0
Cost Of Revenue,2020876100000.0,2485257500000.0,2496953800000.0,1958547600000.0
Total Other Income Expense Net,17679400000.0,-17937700000.0,9710800000.0,21409600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,106628900000.0,26387300000.0,66906300000.0,72182800000.0
Net Income Applicable To Common Shares,106628900000.0,26387300000.0,66906300000.0,72182800000.0
